rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
39;spotify:track:46lyJh9GYmWsHez3EsvmAx;VINAI, VAMERO;Rise Up (feat. Vamero);Spinnin' Records;38;38;9;238316
40;spotify:track:1J14CdDAvBTE1AJYUOwl6C;Duncan Laurence;Arcade;Universal Music, a division of Universal International Music BV;9;35;55;236614
41;spotify:track:4ztkWLky8oMwqu2fSLRfwg;TIX;Ut Av Mørket;Universal Music AS;2;34;15;227845
42;spotify:track:3CjgnAIAtDSpabk4WxU5Tq;Hver gang vi møtes, Maria Mena;I Need a Man;Mastiff Music Norway;2;36;14;227144
43;spotify:track:4dPjk0ZHgfeEzDyh2YT6jO;Alan Walker, ISÁK;Sorry;MER Recordings;7;39;13;217444
44;spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp;Giveon;Heartbreak Anniversary;Epic/Not So Fast;32;40;9;209510
45;spotify:track:6i7zAdNhzUN2k1HcrBxPHG;Ofenbach, Quarterhead, Norma Jean Martine;Head Shoulders Knees & Toes (feat. Norma Jean Martine);Elektra France;15;42;33;206787
46;spotify:track:4jPy3l0RUwlUI9T5XHBW2m;24kGoldn, iann dior;Mood (feat. iann dior);Records/Columbia;1;43;38;204182
47;spotify:track:7qEHsqek33rTcFNT9PFqLf;Lewis Capaldi;Someone You Loved;Vertigo Berlin;3;44;127;199815
48;spotify:track:6rAGFY9D3ah6Lb7fUgbNNH;Alan Walker, salem ilese;Fake A Smile;MER Recordings;13;46;10;186539
49;spotify:track:4gg0IZDrxQUMzpyLIxF9qI;KEiiNO;MONUMENT;Virgin Music Label And Artist Services;10;45;15;177540
50;spotify:track:7jtQIBanIiJOMS6RyCx6jZ;Tom Odell;Another Love;ITNO/Columbia;50;53;11;175732
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:5PjdY0CKGZdEuoNab3yDmX;The Kid LAROI, Justin Bieber;STAY (with Justin Bieber);Columbia;1;1;3;1128676
2;spotify:track:6PQ88X9TkUIAUIZJHW2upE;Ed Sheeran;Bad Habits;Atlantic Records UK;1;2;5;853156
3;spotify:track:4ZtFanR9U6ndgddUvNcjcG;Olivia Rodrigo;good 4 u;Olivia Rodrigo PS;1;3;11;624057
4;spotify:track:2Y7npn076wSZJgH8HVr2B2;Halva Priset, Maria Mena;Den fineste Chevy'n (feat. Maria Mena);All In/GG Music;1;4;22;574582
5;spotify:track:3Wrjm47oTz2sjIgck11l5e;Måneskin;Beggin';RCA Records Label;2;5;9;511620
6;spotify:track:4hsTQQgfBnBgtBkTGKWS1G;A36;Samma gamla vanliga;WM Sweden;6;11;8;509565
7;spotify:track:0UKUfxIkDAMZz7hMdiVX3m;P!nk, Willow Sage Hart;Cover Me In Sunshine;RCA Records Label;4;7;17;464318
8;spotify:track:27NovPIUIRrOZoCHxABJwK;Lil Nas X, Jack Harlow;INDUSTRY BABY (feat. Jack Harlow);Columbia;8;-1;1;450641
9;spotify:track:2bSVFkcYAQwkGlGK7v1Ihl;Chris Holsten;Smilet i ditt eget speil;WM Norway;5;8;20;448379
10;spotify:track:4pt5fDVTg5GhEvEtlz9dKk;Måneskin;I WANNA BE YOUR SLAVE;RCA Records Label;2;6;10;438600
11;spotify:track:2w7Qohb7bKFnfiCokYH0wD;Chris Holsten;Bare når det regner;WM Norway;9;9;6;393969
12;spotify:track:5ev38PymUEq03CNpoKkLDC;El Papi;I Sommer Har Vi Tid;Universal Music AS Distributed Labels;12;12;5;366335
13;spotify:track:6x9k1cXLTqDWagE7voMWv1;TIX;BeautiFull;Universal Music AS;5;10;5;353502
14;spotify:track:3DarAbFujv6eYNliUTyqtz;Doja Cat, SZA;Kiss Me More (feat. SZA);Kemosabe Records/RCA Records;2;13;16;348807
15;spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q;Majestic, Boney M.;Rasputin;NITRON music;13;14;15;338982
16;spotify:track:67BtfxlNbhBmCDR2L2l8qd;Lil Nas X;MONTERO (Call Me By Your Name);Columbia;1;15;18;337914
17;spotify:track:2USlegnFJLrVLpoVfPimKB;Gabry Ponte, LUM!X, Prezioso;Thunder;Spinnin' Records;17;36;7;312675
18;spotify:track:18YdkV1F1N9fiQ8svGg4Hg;Marcus & Martinus, Alex Rose;Belinda (with Alex Rose);Universal Music AS;17;17;8;309399
19;spotify:track:04k0QThdHEp7kg3FpXVh0Q;El Papi;Sju Fjell;Universal Music AS Distributed Labels;3;18;24;309264
20;spotify:track:4cG7HUWYHBV6R6tHn1gxrl;Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Ministry of Sound Recordings;11;16;22;303867
21;spotify:track:6Wcu2LamzXhBOgDUn47g9u;Hagle, Halva Priset;Kjerring i fra by’n;Universal Music AS;5;20;8;289281
22;spotify:track:1KKqiE7UtShqsjZwYvWpm8;Hagle;Ærbeskær;Universal Music AS;8;22;13;289008
23;spotify:track:5CZ40GBx1sQ9agT82CLQCT;Olivia Rodrigo;traitor;Olivia Rodrigo PS;13;23;10;280467
24;spotify:track:1058fW9H3fZA6QjYCdOBad;Camila Cabello;Don't Go Yet;Epic;24;-1;1;280441
25;spotify:track:1JXBNvlDEl2epKSJ9EOgKX;The Kid LAROI, Polo G, Stunna Gambino;NOT SOBER (feat. Polo G & Stunna Gambino);Columbia;25;-1;1;275781
26;spotify:track:5nujrmhLynf4yMoMtj8AQF;Dua Lipa, DaBaby;Levitating (feat. DaBaby);Warner Records;11;25;43;274082
27;spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP;Galantis, David Guetta, Little Mix;Heartbreak Anthem (with David Guetta & Little Mix);Big Beat Records;26;26;10;273586
28;spotify:track:1BA75Vrz6wS2m3nBAIxxlr;Freddy Kalas;Et Sommertegn;Universal Music AB (Sky Agency AS);28;28;6;271484
29;spotify:track:0DGduxy7YSuqXm272C2LM6;Elena Tsagrinou;El Diablo;Panik Records;10;24;11;267731
30;spotify:track:3TeeRufXk2BpyOxF5TmkY3;Halva Priset;Hæljetur;All In/GG Music;20;27;5;263762
31;spotify:track:1MpCvOlkM8VbH50AL7mAUm;Hagle, Staysman;Bøgda;Universal Music AS;6;29;19;260151
32;spotify:track:1m0UFnuTktOkksvjbF9z0m;Vegedream;Ramenez la coupe à la maison;Universal Music Division Island Def Jam;10;21;13;254788
33;spotify:track:40uMIn2zJLAQhNXghRjBed;Post Malone;Motley Crew;Republic Records;19;19;3;251774
34;spotify:track:7onSy9XJzdC4Xnkvu1MCA8;Broiler, Money For Nothing;The Way Our Story Goes;Universal Music AB (Sky Agency AS);32;32;3;246040
35;spotify:track:4iJyoBOLtHqaGxP12qzhQI;Justin Bieber, Daniel Caesar, Giveon;Peaches (feat. Daniel Caesar & Giveon);RBMG/Def Jam;1;34;19;244962
36;spotify:track:0UQvSOE0CgQ1gIHSfo73RS;Soppgirobygget;Afterski;Virgin Music Label And Artist Services;3;31;21;244688
37;spotify:track:4pqWL4Xde0d78P13ZcupbZ;Morgan Sulele, Arne Hurlen, Postgirobygget;Sørenga;RCA Records Label;37;37;7;226644
38;spotify:track:4NjTrZ2IQeWnIbzyY2SOfz;Sigrid;Mirror;Petroleum Records;10;38;9;226568
39;spotify:track:5JCoSi02qi3jJeHdZXMmR8;Olivia Rodrigo;favorite crime;Olivia Rodrigo PS;17;33;10;225742
40;spotify:track:776AftMmFFAWUIEAb3lHhw;Måneskin;ZITTI E BUONI;RCA Records Label;2;30;10;225726
41;spotify:track:6KYDEP132TspYEaEvobbuQ;Hagle;Ærmen i kærmen;Universal Music AS;12;40;25;221965
42;spotify:track:37BZB0z9T8Xu7U3e65qxFy;The Weeknd, Ariana Grande;Save Your Tears (with Ariana Grande) (Remix);Republic Records;11;43;14;221863
43;spotify:track:4olrSI30e4RN11Cz2SQgEv;Kygo, James Gillespie;Gone Are The Days (feat. James Gillespie);Kygo/RCA Records;7;39;15;221561
44;spotify:track:2nIgV90BbhZqq3RXazLV1w;Kris Winther, LamboLaz, SuperJonny, Lil Holmie, Rapposaurus Rex;Barock 2021 (Nesbrurussen);FLAME;36;49;11;217075
45;spotify:track:14Bcv6siTBPw3TlP84dasC;KSI;Holiday;BMG Rights Management (US) LLC;27;35;6;216126
46;spotify:track:3iw6V4LH7yPj1ESORX9RIN;Nathan Evans, 220 KID, Billen Ted;Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;Polydor Records;1;41;27;216065
47;spotify:track:4uDhts78RdwIDjEqPrYVKp;Alan Walker, Imanbek;Sweet Dreams;MER Recordings;11;45;7;209830
48;spotify:track:56NTJftnuouqNpzuPPaqwi;CLMD, Broiler, Torine;All My Friends;Universal Music AS;33;44;7;209650
49;spotify:track:1oKXshzJtz3zDA6dJY8VlZ;Emma Steinbakken;Jeg glemmer deg aldri - fra Rådebank;Virgin Music Label And Artist Services;1;46;24;209617
50;spotify:track:4RbbAdOtGvXTVXAvZvPgXa;Morgan Sulele, Adrian Sellevoll, Amara;Bacardi fra en kopp (feat. Amara);RCA Records Label;50;-1;1;197870
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:0gplL1WMoJ6iYaPgMCL0gX;Adele;Easy On Me;Columbia;1;1;2;1093166
2;spotify:track:135Lf4Q0CzlMNfOxbEUsLH;Benson Boone;GHOST TOWN;Night Street Records, Inc./Warner Records Inc.;2;16;2;822385
3;spotify:track:21M6OJQHFoXQDjMJlqGnAL;Ramón;Smil Pent;Universal Music AS;3;30;2;739494
4;spotify:track:02MWAaffLxlfxAUY7c5dvx;Glass Animals;Heat Waves;Polydor Records;1;2;49;622555
5;spotify:track:75MNhvTCCKsST3YqqUiU9r;Ed Sheeran;Shivers;Atlantic Records UK;3;3;7;555914
6;spotify:track:2gpWyfu7eZ01zzncHpxOtA;Swedish House Mafia, The Weeknd;Moth To A Flame (with The Weeknd);Republic Records;6;-1;1;553723
7;spotify:track:5PjdY0CKGZdEuoNab3yDmX;The Kid LAROI, Justin Bieber;STAY (with Justin Bieber);Columbia;1;4;16;523192
8;spotify:track:2USlegnFJLrVLpoVfPimKB;Gabry Ponte, LUM!X, Prezioso;Thunder;Spinnin' Records;5;6;20;498332
9;spotify:track:2Xr1dTzJee307rmrkt8c0g;CKay;love nwantiti (ah ah ah);Chocolate City Music;4;5;7;453171
10;spotify:track:6PQ88X9TkUIAUIZJHW2upE;Ed Sheeran;Bad Habits;Atlantic Records UK;1;7;18;449541
11;spotify:track:3uUuGVFu1V7jTQL60S1r8z;Lost Frequencies, Calum Scott;Where Are You Now;Epic Amsterdam;8;8;13;446970
12;spotify:track:7rglLriMNBPAyuJOMGwi39;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;EMI;12;13;11;435407
13;spotify:track:0e8nrvls4Qqv5Rfa2UhqmO;Lil Nas X;THATS WHAT I WANT;Columbia;5;10;6;402535
14;spotify:track:5Z9KJZvQzH6PFmb8SNkxuk;Lil Nas X, Jack Harlow;INDUSTRY BABY (feat. Jack Harlow);Columbia;3;12;14;388203
15;spotify:track:2bSVFkcYAQwkGlGK7v1Ihl;Chris Holsten;Smilet i ditt eget speil;WM Norway;5;14;33;362091
16;spotify:track:2Y7npn076wSZJgH8HVr2B2;Halva Priset, Maria Mena;Den fineste Chevy'n (feat. Maria Mena);All In/GG Music;1;15;35;347762
17;spotify:track:3IVkcYvMiqvRKa4ip0E7a8;Ballinciaga, Kevin Lauren;Loud Luxury 2022;Virgin Music Label And Artist Services;11;11;3;339011
18;spotify:track:2nIgV90BbhZqq3RXazLV1w;Kris Winther, LamboLaz, SuperJonny, Lil Holmie, Rapposaurus Rex;Barock 2021 (Nesbrurussen);FLAME;17;17;24;308839
19;spotify:track:71qB68guEJjbvtjlkZ8DF5;Kygo, X Ambassadors;Undeniable (feat. X Ambassadors);Kygo/RCA Records;9;9;2;291959
20;spotify:track:2w7Qohb7bKFnfiCokYH0wD;Chris Holsten;Bare når det regner;WM Norway;9;20;19;284352
21;spotify:track:2QtRn7ZwO1w5wlmngLgwT7;Gabrielle;eg ser deg;Universal Music AS;21;-1;1;283838
22;spotify:track:5rW7qTn83sCKtqBoneJs63;bbno$, Rich Brian;edamame (feat. Rich Brian);bbno$;22;26;10;274168
23;spotify:track:5aXfGM7WVcqyAvqnL7k0y3;Becky Hill;Remember - Acoustic;Polydor Records;11;19;11;268382
24;spotify:track:46HNZY1i7O6jwTA7Slo2PI;Coldplay, BTS;My Universe;Parlophone UK;16;22;5;258025
25;spotify:track:2B4GHvToeLTOBB4QLzW3Ni;Farruko;Pepas;Sony Music Latin;25;39;10;251778
26;spotify:track:4AdUxdA06Ex0VUDKJItcDN;Chris Holsten;Bak en fasade;WM Norway;13;23;6;247940
27;spotify:track:4hsTQQgfBnBgtBkTGKWS1G;A36;Samma gamla vanliga;WM Sweden;3;25;21;247808
28;spotify:track:3xuyh4bAIuN0oIWPMqoXog;Nicolay Ramm;BlimE! – Dynamitt;Chinpoko Records;12;28;11;245078
29;spotify:track:63IaMjanvXp9c3f0Y7OImT;Einár, ADAAM;DANSA;Einár;29;-1;1;238585
30;spotify:track:4ZtFanR9U6ndgddUvNcjcG;Olivia Rodrigo;good 4 u;Olivia Rodrigo PS;1;24;24;238269
31;spotify:track:7hU3IHwjX150XLoTVmjD0q;LISA;MONEY;YG Entertainment/Interscope Records;31;31;4;230524
32;spotify:track:0eu4C55hL6x29mmeAjytzC;Oliver Tree;Life Goes On;Atlantic Records;12;21;7;222752
33;spotify:track:1KR9TkyhxqqpOk45WAm7bM;Alan Walker, Jamie Miller;Running Out Of Roses;MER Recordings;15;29;7;217601
34;spotify:track:6f5ExP43esnvdKPddwKXJH;NEIKED, Mae Muller, Polo G;Better Days (NEIKED x Mae Muller x Polo G);Capitol Records UK / EMI;34;-1;1;208639
35;spotify:track:6Uj1ctrBOjOas8xZXGqKk4;Doja Cat;Woman;Kemosabe Records/RCA Records;17;32;13;205088
36;spotify:track:0DuWDLjriRPjDRoPgaCslY;Adele;Love In The Dark;XL Recordings;36;37;3;203242
37;spotify:track:4RVwu0g32PAqgUiJoXsdF8;Billie Eilish;Happier Than Ever;Darkroom/Interscope Records;5;34;13;198531
38;spotify:track:4cGqn0E8JCSY9gQllQj4Mf;Coldplay, Selena Gomez;Let Somebody Go;Parlophone UK;18;18;2;194459
39;spotify:track:0fQfJFfngYfG26560HLMLN;Sean Paul, Sia;Dynamite;Universal-Island Records Ltd.;39;-1;1;185428
40;spotify:track:2Gd0oV24QsH0zb9nKFx7s5;Hov1, Einár;Gamora;Universal Music AB;40;-1;1;185183
41;spotify:track:04sN26COy28wTXYj3dMoiZ;Billie Eilish;Bored;Darkroom;32;42;6;184082
42;spotify:track:7onSy9XJzdC4Xnkvu1MCA8;Broiler, Money For Nothing;The Way Our Story Goes;Universal Music AB (Sky Agency AS);17;38;16;184025
43;spotify:track:4gvrJnKCKIPiacNsWVQwEU;CKay, Dj Yo!, AX'EL;love nwantiti (feat. Dj Yo! & AX'EL) - Remix;WM South Africa;34;41;7;181187
44;spotify:track:507T2C0pVA8P4cElwhfEuV;Ringnes-Ronny;Ligga low;MAJOR;25;44;7;175719
45;spotify:track:0mJBiaODgK0XjOLCN5fItq;Sam Smith;Like I Can;Capitol;14;36;11;175500
