rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:7lPN2DXiMsVn7XUKtOW1CS;Olivia Rodrigo;drivers license;Olivia Rodrigo PS;1;1;3;1234978
2;spotify:track:3CjgnAIAtDSpabk4WxU5Tq;Hver gang vi møtes, Maria Mena;I Need a Man;Mastiff Music Norway;2;-1;1;736219
3;spotify:track:27OeeYzk6klgBh83TSvGMA;The Kid LAROI;WITHOUT YOU;Columbia;1;2;12;666966
4;spotify:track:4ztkWLky8oMwqu2fSLRfwg;TIX;Ut Av Mørket;Universal Music AS;3;3;2;490626
5;spotify:track:2gqWRRCXnma9L8xQ1RdemQ;The Kid LAROI;SO DONE;Columbia;3;6;14;452483
6;spotify:track:31qCy5ZaophVA81wtlwLc4;Justin Bieber;Anyone;RBMG/Def Jam;2;4;4;442361
7;spotify:track:3tjFYV6RSFtuktYl3ZtYcq;24kGoldn, iann dior;Mood (feat. iann dior);Records/Columbia;1;8;25;408703
8;spotify:track:0twxxmLUAbRv9cwZWz9dWY;FELIX SANDMAN, Astrid S;RELATIONS;Artist House / Record Company TEN;6;7;6;404274
9;spotify:track:1Uub0xkh0QgAQjJ7v5cqy7;TIX;Tusen Tårer;Universal Music AS;2;5;5;388501
10;spotify:track:45bE4HXI0AwGZXfZtMp8JR;Tate McRae;you broke me first;RCA Records Label;4;9;38;378267
11;spotify:track:6f3Slt0GbA2bPZlz0aIFXN;Tiësto;The Business;Atlantic Records;11;13;18;376490
12;spotify:track:4SS4YfDAEQG0fZAe1xfgn3;Victor Leksell;Svag;Columbia;1;12;53;351573
13;spotify:track:4y4spB9m0Q6026KfkAvy9Q;Justin Bieber, benny blanco;Lonely (with benny blanco);Friends Keep Secrets/Def Jam Recordings/Interscope Records;1;10;15;343959
14;spotify:track:3YJJjQPAbDT7mGpX3WtQ9A;SZA;Good Days;Top Dawg Entertainment/RCA Records;14;16;4;340604
15;spotify:track:6hCGVqheUBzymvfA7IB4Y9;Dagny;Somebody;Universal Music AS;8;11;39;337492
16;spotify:track:5QO79kh1waicV47BqGRL3g;The Weeknd;Save Your Tears;Republic Records;16;26;7;330682
17;spotify:track:5vGLcdRuSbUhD8ScwsGSdA;CJ;Whoopty;CJ Music Group/T-Series;9;14;17;329329
18;spotify:track:1FP9s72rDYty6mfoOEYKnE;Robin Schulz, KIDDO;All We Got (feat. KIDDO);WM Germany;17;17;15;321662
19;spotify:track:5PYtd1g0UkEVELtaAGspyF;Hver gang vi møtes, Arne Hurlen;Jeg vil ikke se deg med han;Mastiff Music Norway;19;30;2;312183
20;spotify:track:6i7zAdNhzUN2k1HcrBxPHG;Ofenbach, Quarterhead, Norma Jean Martine;Head Shoulders Knees & Toes (feat. Norma Jean Martine);Elektra France;15;18;20;295231
21;spotify:track:1kJ9iysFb93KSeorhV109C;Victoria Nadine;Be Okay;Virgin Music Label And Artist Services;3;15;13;291207
22;spotify:track:7hxHWCCAIIxFLCzvDgnQHX;Internet Money, Gunna, Don Toliver, NAV;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money Records/ TenThousand Projects;2;19;24;279653
23;spotify:track:0VjIjW4GlUZAMYd2vXMi3b;The Weeknd;Blinding Lights;Republic Records;1;22;61;276660
24;spotify:track:0psS4i5YooJrXfDnGvWRLi;Billie Eilish, ROSALÍA;Lo Vas A Olvidar (with ROSALÍA);Darkroom/Interscope Records;24;-1;1;275738
25;spotify:track:55Am8neGJkdj2ADaM3aw5H;James Arthur;Train Wreck;Columbia;11;20;22;275094
26;spotify:track:63HGbNt0F71VkMEEX4oOtm;Hver gang vi møtes, Agnete Saba;En kasse pils alene;Mastiff Music Norway;26;-1;1;268784
27;spotify:track:0E4Y1XIbs8GrAT1YqVy6dq;Ed Sheeran;Afterglow;Atlantic Records UK;8;21;6;241556
28;spotify:track:7qEHsqek33rTcFNT9PFqLf;Lewis Capaldi;Someone You Loved;Vertigo Berlin;3;29;114;239792
29;spotify:track:4pAOZbnxKu86P9ikN6Rrcd;Hver gang vi møtes, Arne Hurlen;Alle gutta;Mastiff Music Norway;29;-1;1;238523
30;spotify:track:4YwIOEhqg57IX2QasbetBi;Astrid S;It's Ok If You Forget Me;Universal Music AS;7;24;19;237050
31;spotify:track:6zFMeegAMYQo0mt8rXtrli;Lil Nas X;HOLIDAY;Columbia;9;25;11;228369
32;spotify:track:54bFM56PmE4YLRnqpW6Tha;Billie Eilish;Therefore I Am;Darkroom/Interscope Records;2;27;11;227191
33;spotify:track:3quis1aFmQ0tlDbbq3RPOx;Chris Holsten, Frida Ånnevik;Hvis verden;WM Norway;9;33;37;216061
34;spotify:track:37EyJVC84SzAVpSf3h4792;Ringnes-Ronny;VI SKA BLI FULLA;MAJOR;34;-1;1;213420
35;spotify:track:7G5LHVsLpVIMjDsWJIgDNW;Hver gang vi møtes, Hkeem;Hjem til deg;Mastiff Music Norway;35;-1;1;213164
36;spotify:track:3vZFG25FQOhJh1mmR3dwB1;Emma Steinbakken;"Stay With Me (From the Original Netflix Series ""Home For Christmas Season 2"")";WM Norway;16;28;10;212811
37;spotify:track:20McUFi8KCIVdNDLrkTDuZ;HVME;Goosebumps;Columbia/B1 Recordings;26;31;16;212471
38;spotify:track:1tkg4EHVoqnhR6iFEXb60y;Pop Smoke;What You Know Bout Love;Victor Victor Worldwide;3;36;24;206576
39;spotify:track:2gMXnyrvIjhVBUZwvLZDMP;Lewis Capaldi;Before You Go;Vertigo Berlin;8;39;63;205724
40;spotify:track:1HbA4N1MiOsPthALesGFR1;Shawn Mendes, Justin Bieber;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes LP4-5 PS/ Island;5;32;10;200064
41;spotify:track:4VEEDnEFLI9dUy5QA51rom;Foster, Sody, Sarcastic Sounds;fools (can't help falling in love) (feat. Sody);Relentless Records;37;37;5;199008
42;spotify:track:35mvY5S1H3J2QZyna3TFe0;Ariana Grande;positions;Republic Records;7;38;14;198081
43;spotify:track:2Oycxb8QbPkpHTo8ZrmG0B;Miley Cyrus, Dua Lipa;Prisoner (feat. Dua Lipa);RCA Records Label;13;35;10;197717
44;spotify:track:307r3QFjBrylICVrFQJ0y7;Freddy Kalas;Alt Blir Bra;Universal Music AS;44;-1;1;197379
45;spotify:track:4gg0IZDrxQUMzpyLIxF9qI;KEiiNO;MONUMENT;Virgin Music Label And Artist Services;34;34;2;195392
46;spotify:track:4Of7rzpRpV1mWRbhp5rAqG;Lewis Capaldi;Bruises;Vertigo Berlin;19;42;85;187662
47;spotify:track:6cx06DFPPHchuUAcTxznu9;Joel Corry, MNEK;Head & Heart (feat. MNEK);Atlantic Records UK;9;45;30;187525
48;spotify:track:5nujrmhLynf4yMoMtj8AQF;Dua Lipa, DaBaby;Levitating (feat. DaBaby);Warner Records;39;41;17;187329
49;spotify:track:3YIabL8gFot7Ut4W2iOAwb;Emilie Nicolas, Isah;Who's Gonna Love You (feat. Isah);WM Norway;23;23;2;170359
50;spotify:track:5Du3rnveQft7usQHGOr1yq;Victor Sotberg;BlimE! - Ser Deg;Propeller Recordings;9;43;23;167171
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:2Y7npn076wSZJgH8HVr2B2;Halva Priset, Maria Mena;Den fineste Chevy'n (feat. Maria Mena);All In/GG Music;1;3;9;800784
2;spotify:track:67BtfxlNbhBmCDR2L2l8qd;Lil Nas X;MONTERO (Call Me By Your Name);Columbia;1;1;5;749956
3;spotify:track:4iJyoBOLtHqaGxP12qzhQI;Justin Bieber, Daniel Caesar, Giveon;Peaches (feat. Daniel Caesar & Giveon);RBMG/Def Jam;1;2;6;676649
4;spotify:track:748mdHapucXQri7IAO8yFK;Doja Cat, SZA;Kiss Me More (feat. SZA);Kemosabe Records/RCA Records;4;12;3;555715
5;spotify:track:3iw6V4LH7yPj1ESORX9RIN;Nathan Evans, 220 KID, Billen Ted;Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;Polydor Records;1;4;14;549589
6;spotify:track:43PGPuHIlVOc04jrZVh9L6;Polo G;RAPSTAR;Columbia;4;5;3;514476
7;spotify:track:4olrSI30e4RN11Cz2SQgEv;Kygo, James Gillespie;Gone Are The Days (feat. James Gillespie);Kygo/RCA Records;7;9;2;488981
8;spotify:track:0UQvSOE0CgQ1gIHSfo73RS;Soppgirobygget;Afterski;Virgin Music Label And Artist Services;3;6;8;482624
9;spotify:track:04k0QThdHEp7kg3FpXVh0Q;El Papi;Sju Fjell;Universal Music AS Distributed Labels;3;7;11;471387
10;spotify:track:1oKXshzJtz3zDA6dJY8VlZ;Emma Steinbakken;Jeg glemmer deg aldri - fra Rådebank;Virgin Music Label And Artist Services;1;8;11;429088
11;spotify:track:37BZB0z9T8Xu7U3e65qxFy;The Weeknd, Ariana Grande;Save Your Tears (with Ariana Grande) (Remix);Republic Records;11;-1;1;425150
12;spotify:track:2bSVFkcYAQwkGlGK7v1Ihl;Chris Holsten;Smilet i ditt eget speil;WM Norway;11;13;7;423986
13;spotify:track:1v1oIWf2Xgh54kIWuKsDf6;AURORA;Runaway;Petroleum Records;13;19;8;413176
14;spotify:track:5nujrmhLynf4yMoMtj8AQF;Dua Lipa, DaBaby;Levitating (feat. DaBaby);Warner Records;14;15;30;404747
15;spotify:track:1MpCvOlkM8VbH50AL7mAUm;Hagle, Staysman;Bøgda;Universal Music AS;6;10;6;402257
16;spotify:track:3VT8hOC5vuDXBsHrR53WFh;Masked Wolf;Astronaut In The Ocean;Elektra (NEK);10;14;17;371374
17;spotify:track:61KpQadow081I2AsbeLcsb;Olivia Rodrigo;deja vu;Olivia Rodrigo PS;17;17;4;359473
18;spotify:track:6Tio0ZoDeSQnI7EBAqWer2;P!nk, Willow Sage Hart;Cover Me In Sunshine;RCA Records Label;18;41;4;353533
19;spotify:track:6KYDEP132TspYEaEvobbuQ;Hagle;Ærmen i kærmen;Universal Music AS;12;16;12;347937
20;spotify:track:7lPN2DXiMsVn7XUKtOW1CS;Olivia Rodrigo;drivers license;Olivia Rodrigo PS;1;18;16;339587
21;spotify:track:5QO79kh1waicV47BqGRL3g;The Weeknd;Save Your Tears;Republic Records;4;11;20;335449
22;spotify:track:0pb6jcU6ncdHhpigpPnm7Y;Adrian Sellevoll;JEG HATER DEG;Nonstop Music Norway;22;-1;1;330954
23;spotify:track:6f3Slt0GbA2bPZlz0aIFXN;Tiësto;The Business;Atlantic Records;9;20;31;325762
24;spotify:track:4cG7HUWYHBV6R6tHn1gxrl;Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Ministry of Sound Recordings;24;25;9;318878
25;spotify:track:2uIqAH4YQ7oD8rPVujlTZf;Ruben;Running;Universal Music AS;23;23;6;314893
26;spotify:track:5Gltinn48NXDSsIwCuIRmK;Albatraoz, Kåren;Raggarbil;House of Albatraoz;20;22;18;313346
27;spotify:track:5YaskwnGDZFDRipaqzbwQx;ATB, Topic, A7S;Your Love (9PM);A7S Records FZE;17;21;15;309298
28;spotify:track:15OCqNPYoLziEAsbVnqRj5;Mimi Webb;Good Without;Epic;28;29;5;309128
29;spotify:track:7MAibcTli4IisCtbHKrGMh;Bruno Mars, Anderson .Paak, Silk Sonic;Leave The Door Open;Aftermath Entertainment/Atlantic;19;27;8;297255
30;spotify:track:27OeeYzk6klgBh83TSvGMA;The Kid LAROI;WITHOUT YOU;Columbia;1;26;25;283183
31;spotify:track:1nahzW3kfMuwReTka28tH5;Justin Bieber;Hold On;RBMG/Def Jam;7;24;8;279462
32;spotify:track:1uWxnUQd05yyOI3M9DeKI8;Sondre Justad, Musti;Sorry (feat. Musti);Petroleum Records;13;31;7;267133
33;spotify:track:4HBkmhv0wxYXz2BGH0aqgU;Maria Petra;lonely;Virgin Music Label And Artist Services;20;37;10;261135
34;spotify:track:6hCGVqheUBzymvfA7IB4Y9;Dagny;Somebody;Universal Music AS;8;28;52;258052
35;spotify:track:1beuDJXaekLPtvX1jQe0yx;Kamelen;Creme De La Creme;KingPin Records;35;-1;1;251635
36;spotify:track:4SS4YfDAEQG0fZAe1xfgn3;Victor Leksell;Svag;Columbia;1;32;66;247096
37;spotify:track:4wr2HgyYMvJourcfOMzPCb;Ringnes-Ronny;Polisen;MAJOR;25;30;3;244907
38;spotify:track:0VjIjW4GlUZAMYd2vXMi3b;The Weeknd;Blinding Lights;Republic Records;1;33;74;241872
