rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:5SxkdsY1ufZzoq9iXceLw9;Ariana Grande;no tears left to cry;Republic Records;1;-1;1;812291
2;spotify:track:2GGGm4MLQynB3I4E4ycIYC;Seeb, Dagny;Drink About;Universal Music AS;2;4;3;769138
3;spotify:track:33IOhptvC2Qoy2UhjiHXLV;David Guetta, Sia;Flames;Parlophone (France);1;1;5;756502
4;spotify:track:6g1NlCpW7fgqDnWbCCDrHl;Avicii;Wake Me Up;Universal Music AB;4;-1;1;687838
5;spotify:track:5CLGzJsGqhCEECcpnFQA8x;Rudimental, Jess Glynne, Macklemore, Dan Caplen;These Days (feat. Jess Glynne, Macklemore & Dan Caplen);Atlantic Records UK;1;3;14;661614
