rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
49;spotify:track:2Y7npn076wSZJgH8HVr2B2;Halva Priset, Maria Mena;Den fineste Chevy'n (feat. Maria Mena);All In/GG Music;1;43;74;197652
50;spotify:track:2DB4DdfCFMw1iaR6JaR03a;Camila Cabello, Ed Sheeran;Bam Bam (feat. Ed Sheeran);Epic;18;45;21;167924
;regional-no-weekly-2022-07-28;;;https://charts.spotify.com/charts/view/regional-no-weekly/2022-07-28;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:4v8yhLDEcRQ6BynXcCrGMo;Marstein;Frida Kahlo;Def Jam Recordings Norway;1;1;6;783516
2;spotify:track:4uUG5RXrOk84mYEfFvj3cK;David Guetta, Bebe Rexha;I'm Good (Blue);Parlophone UK;1;2;10;621352
3;spotify:track:35ovElsgyAtQwYPYnZJECg;Rihanna;Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Black Panther 2 Rihanna Recordings;3;-1;1;589779
4;spotify:track:3nqQXoyQOWXiESFLlDF1hG;Sam Smith, Kim Petras;Unholy (feat. Kim Petras);Capitol Records UK / EMI;2;3;6;531034
5;spotify:track:0V3wPSX9ygBnCm8psDIegu;Taylor Swift;Anti-Hero;Taylor Swift;4;4;2;477895
6;spotify:track:73vIOb4Q7YN6HeJTbscRx5;Oliver Tree, Robin Schulz;Miss You;Atlantic Records;3;5;4;457346
7;spotify:track:56kyGGwLIVAR30ZFiASn8Q;Ballinciaga, David Mokel;Dans På Bordet;Virgin Music Label And Artist Services;1;8;38;435440
8;spotify:track:5hnGrTBaEsdukpDF6aZg8a;Dean Lewis;How Do I Say Goodbye;Universal Music Australia Pty. Ltd.;5;6;9;416366
9;spotify:track:47aGU91Mqqjt1ZJ9NgQXqY;Beathoven;BABYGIRL (PRIMADONNA);WM Norway;2;7;6;394388
10;spotify:track:0QHEIqNKsMoOY5urbzN48u;Meghan Trainor;Made You Look;Epic;10;43;2;377732
11;spotify:track:1DpcC4aayrSlMSHqnHmJrf;Greekazo, Roc Boyz;Helgen;Virgin Music Label And Artist Services;6;9;3;352165
12;spotify:track:7jtQIBanIiJOMS6RyCx6jZ;Tom Odell;Another Love;ITNO/Columbia;9;14;90;343667
13;spotify:track:5PzratDTUf07VyMKrGGxz3;El Papi;Hjerteløs;Universal Music AS Distributed Labels;2;11;7;343212
14;spotify:track:561jH07mF1jHuk7KlaeF0s;Eminem;Mockingbird;Aftermath;14;20;6;336344
15;spotify:track:39sXT0fOvfoXh5x9v5SjE7;Beathoven, Capow x 2G;SØR-AFRIKA;WM Norway;1;13;22;331248
16;spotify:track:1yVBxI8TaIL86Rrmah83fd;Aden Foyer;The Ballet Girl;Columbia;16;59;2;323019
17;spotify:track:4h9wh7iOZ0GGn8QVp4RAOB;OneRepublic;I Ain't Worried;Interscope Records;9;15;24;300401
18;spotify:track:6R20ReFHCSjtK3vMUZI3Yv;Brødrene Bausa, Thomskalle, Ginger Joe;Mawbys;WM Norway;6;18;12;289946
19;spotify:track:523f4oSjrZx83XDtRLnsIw;Benson Boone;Before You;Warner Records;19;-1;1;287513
20;spotify:track:76OGwb5RA9h4FxQPT33ekc;Rosa Linn;SNAP;Columbia;7;19;20;279374
