rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
44;spotify:track:7z5G2LOdV8okZn4yWg3q5g;A1 x J1, Tion Wayne;Night Away (Dance) (feat. Tion Wayne);EMI;15;35;8;208797
45;spotify:track:4fouWK6XVHhzl78KzQ1UjL;GAYLE;abcdefu;Atlantic/Arthouse Records;1;38;26;200233
46;spotify:track:3rmo8F54jFF8OgYsqTxm5d;Ed Sheeran;Bad Habits;Atlantic Records UK;1;46;44;199679
47;spotify:track:5vtRUF1yqzWWwZe5rN901j;Karpe, Omar Sheriff;IBOPROFEN;A & K;2;42;13;197578
48;spotify:track:0P88fVbvRQGgRQN1GulQNy;Liilz, ZieZie;Glad U Came (feat. ZieZie);Robots & Humans;19;36;7;197472
49;spotify:track:1GGk3Q73VX2eBLQ2Yp5Kr2;Martine Lunde, Norges Nye Megahit;Fuckboy;All In/GG Music;3;40;21;191700
50;spotify:track:0U1W2LZVUX7qTm7dDpqxh6;Shawn Mendes;When You're Gone;Shawn Mendes LP4-5 PS/ Island;18;44;4;184806
;regional-no-weekly-2022-04-28;;(Spotify Charts - Spotify Charts Are Made by Fans, 2022b);;Spotify Charts - Spotify Charts are made by fans. (2022b, April 28). https://charts.spotify.com/charts/view/regional-no-weekly/2022-04-28;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:39sXT0fOvfoXh5x9v5SjE7;Beathoven, Capow x 2G;SØR-AFRIKA;WM Norway;1;1;8;767013
2;spotify:track:56kyGGwLIVAR30ZFiASn8Q;Ballinciaga, David Mokel;Dans På Bordet;Virgin Music Label And Artist Services;1;2;24;711120
