rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:14msK75pk3pA33pzPVNtBF;Ariana Grande;7 rings;Republic Records;1;1;2;965648
2;spotify:track:6MWtB6iiXyIwun0YzU6DFP;Post Malone;Wow.;Republic Records;1;2;6;678798
3;spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga, Bradley Cooper;Shallow;A Star is Born OST;3;4;18;638768
4;spotify:track:0lG6QM1jjbbX5UUn3DPmrZ;Alan Walker, Sorana;Lost Control;MER Recordings;2;3;7;606767
5;spotify:track:25sgk305KZfyuqVBQIahim;Ava Max;Sweet but Psycho;Atlantic Records;1;5;21;586303
6;spotify:track:5p7ujcrUXASCNwRaWNHR1C;Halsey;Without Me;Capitol Records;5;6;17;547504
7;spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki;Sam Smith, Normani;Dancing With A Stranger (with Normani);Capitol;7;7;3;509624
8;spotify:track:2qxmye6gAegTMjLKEBoR3d;Alec Benjamin;Let Me Down Slowly;2018;8;10;24;481822
9;spotify:track:4l6boTiX3Erh3HYpKOa0D6;Ruben;Lay By Me;Universal Music AS;7;8;5;473334
10;spotify:track:14JzyD6FlBD5z0wV5P07YI;Billie Eilish;when the party's over;Darkroom/Interscope Records;9;11;15;444654
11;spotify:track:0nrWZWkJM62ftQJSI8fDc0;Alan Walker, Sophia Somajo;Diamond Heart;MER Recordings;1;9;18;439775
12;spotify:track:3EPXxR3ImUwfayaurPi3cm;Dean Lewis;Be Alright;Universal Music Australia Pty. Ltd.;2;12;27;415094
13;spotify:track:3KkXRkHbMCARz0aVfEt68P;Post Malone, Swae Lee;Sunflower - Spider-Man: Into the Spider-Verse;Universal Records;6;14;15;407827
14;spotify:track:2JvzF1RMd7lE3KmFlsyZD8;J. Cole;MIDDLE CHILD;Dreamville, Inc., Under exclusive license to Roc Nation Records;14;-1;1;395811
15;spotify:track:5itOtNx0WxtJmi1TQ3RuRd;Calvin Harris, Rag'n'Bone Man;Giant (with Rag'n'Bone Man);Columbia;15;18;3;384797
16;spotify:track:2rPE9A1vEgShuZxxzR2tZH;Ariana Grande;thank u, next;Republic Records;2;13;13;376831
17;spotify:track:14sOS5L36385FJ3OL8hew4;Kygo, Sandro Cavazza;Happy Now;Kygo;6;15;14;365237
18;spotify:track:3id2EVGKc3eFAMn9nFnB0r;Lukas Graham;Love Someone;Copenhagen Records / Then We Take The World;5;16;21;355337
19;spotify:track:6sWtJNUxC5SYEKQ0zFGeNT;Unge Ferrari;Balkong;Nora Streams;17;22;13;338331
20;spotify:track:5rFj8OzffT0iggSjcBaeND;Sam Smith;"Fire On Fire - From ""Watership Down""";Capitol;17;20;6;335083
21;spotify:track:1rqqCSm0Qe4I9rUvWncaom;Panic! At The Disco;High Hopes;DCD2 / Fueled By Ramen;15;17;32;326335
22;spotify:track:27rdGxbavYJeBphck5MZAF;Mark Ronson, Miley Cyrus;Nothing Breaks Like a Heart (feat. Miley Cyrus);Columbia;20;21;9;323834
23;spotify:track:2RSHsoi04658QL5xgQVov3;Imagine Dragons;Bad Liar;Kid Ina Korner / Interscope;14;23;12;308700
24;spotify:track:7wFybC8jBH3zE139OpCtpG;Gesaffelstein, The Weeknd;Lost in the Fire (feat. The Weeknd);Columbia;19;19;3;296711
25;spotify:track:4qT3t47e2tqOPa5HVtUKey;Emma Steinbakken;Not Gonna Cry;Virgin Music Label And Artist Services;25;29;10;289958
26;spotify:track:2TIlqbIneP0ZY1O0EzYLlc;Lewis Capaldi;Someone You Loved;Vertigo Berlin;26;32;10;286299
27;spotify:track:5kfNriitmkNE8mUbZ7gbq8;Khalid;Saturday Nights;Right Hand Music Group, LLC/RCA Records;27;31;12;284806
28;spotify:track:09rj7jigutgAkveJGpSDBT;Astrid S;Emotion;Universal Music AS;3;26;16;281143
29;spotify:track:2LskIZrCeLxRvCiGP8gxlh;XXXTENTACION, Lil Pump, Swae Lee, Maluma;Arms Around You (feat. Maluma & Swae Lee);Warner Records;8;25;14;278851
30;spotify:track:2b2Ji9u1hRwfvO5dk1ixYi;CLMD;Trouble;Universal Music AS;23;28;13;276978
31;spotify:track:3gicyfiEVMGONgzygpWjNT;Seeb, Bastille;Grip;Universal Music AS;25;27;8;273711
32;spotify:track:0S0n02HdUboPxJSpDtOqS5;Unge Ferrari;Vi Kanke Være Venner;Nora Streams;23;30;9;273070
33;spotify:track:2rbDhOo9Fh61Bbu23T2qCk;Lady Gaga;Always Remember Us This Way;A Star is Born OST;16;34;17;261464
34;spotify:track:4AMY0oGSt7vZwgxDnHCJBr;XO Cupid, Maya Avedis;True Colors (feat. Maya Avedis);Columbia;28;33;17;257394
35;spotify:track:2dpaYNEQHiRxtZbfNsse99;Marshmello, Bastille;Happier;Astralwerks;7;37;24;244435
36;spotify:track:5tAa8Uaqr4VvA3693mbIhU;Zara Larsson;Ruin My Life;Epic/Record Company TEN;12;36;15;241965
37;spotify:track:1KVczjazCcCCgM3gXXUl47;benny blanco, Juice WRLD, Brendon Urie;Roses (with Juice WRLD feat. Brendon Urie);Friends Keep Secrets/Interscope Records;37;45;8;224333
38;spotify:track:7FGq80cy8juXBCD2nrqdWU;benny blanco, Halsey, Khalid;Eastside (with Halsey & Khalid);Friends Keep Secrets/Interscope Records;3;38;29;220543
39;spotify:track:6mQLN3zRtAp6ovjusyYKrV;James Arthur, Anne-Marie;Rewrite The Stars (with James Arthur & Anne-Marie);Atlantic Records;39;43;10;214215
40;spotify:track:7COXchtUOMd6uIT6HvmRaI;Lauv, Troye Sivan;i'm so tired...;Lauv;40;-1;1;213416
41;spotify:track:6SRWhUJcD2YKahCwHavz3X;Alan Walker, Au/Ra, Tomine Harket;Darkside;MER Recordings;1;44;27;213051
42;spotify:track:2xLMifQCjDGFmkHkpNLD9h;Travis Scott;SICKO MODE;Cactus Jack / Epic / Grand Hustle;21;46;26;211407
43;spotify:track:6jreFSOTUAViWjKyzOC4Kg;Alesso;REMEDY;10:22 pm;10;40;22;209525
44;spotify:track:4MCgkMjV0hK7vaaQI9jR7e;Øystein Hegvik;Before I Go;Universal Music AS;26;41;7;208375
45;spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z;Kodak Black, Offset, Travis Scott;ZEZE (feat. Travis Scott & Offset);Atlantic Records;10;42;16;203563
46;spotify:track:0E9ZjEAyAwOXZ7wJC0PD33;Dynoro, Gigi D'Agostino;In My Mind;Columbia/B1 Recordings;1;49;32;203242
47;spotify:track:3nHtJ3HtqFomq1Qz7OzRR0;Ina Wroldsen;Mother;Syco Music;16;47;31;202460
48;spotify:track:4BiiOzZCrXEzHRLYcYFiD5;The Chainsmokers, Winona Oak;Hope;Disruptor Records/Columbia;48;55;7;202389
