rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
49;spotify:track:4heFQCyiW0RUEX1Q1lb008;Alan Walker, K-391, Sofia Carson, CORSAK;Different World (feat. CORSAK);MER Recordings;31;48;9;190702
50;spotify:track:1NJcg626wLln4pGHpiV7mf;Billie Eilish, Khalid;lovely (with Khalid);Darkroom;34;51;38;181473
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:6nDKrPlXdpomGBgAlO7UdP;Avicii, Aloe Blacc;SOS (feat. Aloe Blacc);Universal Music AB;1;1;4;872630
2;spotify:track:2Fxmhks0bxGSBdJ92vM42m;Billie Eilish;bad guy;Darkroom/Interscope Records;1;2;5;839651
3;spotify:track:53CJANUxooaqGOtdsBTh7O;Lil Nas X;Old Town Road;Columbia;3;3;8;649590
4;spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga, Bradley Cooper;Shallow;A Star is Born OST;2;4;31;622720
5;spotify:track:6u7jPi22kF8CTQ3rb9DHE7;Lil Nas X, Billy Ray Cyrus;Old Town Road - Remix;Columbia;5;5;4;605035
6;spotify:track:4n7jnSxVLd8QioibtTDBDq;Alan Walker, Sabrina Carpenter, Farruko;On My Way;MER Recordings;2;7;6;598068
7;spotify:track:0uUNN1nSoUx1A4fkDCWDQ7;Ava Max;So Am I;Atlantic Records;2;8;8;539686
8;spotify:track:3y3brCCecHC3Db18aIOnny;Kygo, Rita Ora;"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")";Palm Tree Records/RCA Records;8;9;2;532569
9;spotify:track:5lwU311GwiiWBhcXrdy1R4;Nicolay Ramm;Raske Briller;Chinpoko Records;1;6;10;487452
10;spotify:track:0Tv9DumSM7K9v4EME1XdsC;Rat City, Isak Heim;Kind Of Love;RCA Records Label;10;10;11;479282
11;spotify:track:4Sib57MmYGJzSvkW84jTwh;Taylor Swift, Brendon Urie, Panic! At The Disco;ME! (feat. Brendon Urie of Panic! At The Disco);Taylor Swift;11;-1;1;475271
12;spotify:track:5WHTFyqSii0lmT9R21abT8;Mabel;Don't Call Me Up;Polydor Records;3;11;15;441556
13;spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj;Daya;Insomnia;Interscope Records;13;14;6;436864
14;spotify:track:0pvt5LnzUhcwpc8c2RDL1w;Broiler;Do It;Universal Music AS;12;13;4;419545
15;spotify:track:4SSnFejRGlZikf02HLewEF;Billie Eilish;bury a friend;Darkroom/Interscope Records;2;12;14;404136
16;spotify:track:2S1LebN6AXXQqJolBxlWgO;Lil Dicky;Earth;Commission/BMG;16;37;2;387311
17;spotify:track:4y3OI86AEP6PQoDE6olYhO;Jonas Brothers;Sucker;Jonas Brothers Recording;5;15;9;348671
18;spotify:track:43zdsphuZLzwA9k4DJhU0I;Billie Eilish;when the party's over;Darkroom/Interscope Records;9;16;28;344448
19;spotify:track:2rbDhOo9Fh61Bbu23T2qCk;Lady Gaga;Always Remember Us This Way;A Star is Born OST;7;17;30;342062
20;spotify:track:7p4tetW3qNwSCz92PLGJg5;Ina Wroldsen, Dynoro;Obsessed;Columbia/B1 Recordings;13;20;6;333993
21;spotify:track:0i0wnv9UoFdZ5MfuFGQzMy;Bebe Rexha;Last Hurrah;Warner Records;8;18;11;329484
22;spotify:track:25sgk305KZfyuqVBQIahim;Ava Max;Sweet but Psycho;Atlantic Records;1;19;34;316906
23;spotify:track:7cdzfYrqbbMC6auCV0yAQr;Soppgirobygget;Domen 2019;Soppgiro inc.;23;55;7;300751
24;spotify:track:5KawlOMHjWeUjQtnuRs22c;BTS, Halsey;Boy With Luv (feat. Halsey);BIGHIT MUSIC;22;22;3;298397
25;spotify:track:1atrCmFrGEN5QvjoEWFRHo;Karpe;SAS PLUS / SAS PUSSY;Apen & Kjeften AS;1;21;10;290382
26;spotify:track:4PkIDTPGedm0enzdvilLNd;Ellie Goulding;Sixteen;Polydor Records;26;35;3;284780
27;spotify:track:4MY1amv4MW0wyH5vqB89vk;Julie Bergan;STFU;WM Norway;16;24;9;282758
28;spotify:track:52EB2Gk1nkxZmbomJOXUde;Steve Aoki, Alan Walker, ISÁK;Are You Lonely;Ultra Records;24;25;10;280148
29;spotify:track:172BxPrgDzSgLzFK6jfGpz;Seeb, Highasakite;Free To Go;Universal Music AS;14;23;3;278932
30;spotify:track:1WjLQsbfei4kk9OaVxtfIB;Isah, Dutty Dior;HALLO;Virgin Music Label And Artist Services;30;34;5;276277
31;spotify:track:3bYzubBRMy40lCbT9s8fAk;CLMD, Madcon;Anything;Universal Music AS;27;27;7;266980
32;spotify:track:3Fj47GNK2kUF0uaEDgXLaD;Billie Eilish;wish you were gay;Darkroom/Interscope Records;13;26;9;262937
33;spotify:track:2H4gf1wLxvYreMj1jcaN0k;Dean Lewis;Be Alright;Universal Music Australia Pty. Ltd.;2;31;40;260617
34;spotify:track:0S0n02HdUboPxJSpDtOqS5;Unge Ferrari;Vi Kanke Være Venner;Nora Streams;23;32;22;257401
35;spotify:track:5icOoE6VgqFKohjWWNp0Ac;Marshmello, CHVRCHES;Here With Me;Marshmello/Republic;28;30;8;252093
36;spotify:track:7njKgVl3AnLflRad38o7AG;Bazzi;Paradise;iamcosmic;36;36;4;247545
37;spotify:track:2qxmye6gAegTMjLKEBoR3d;Alec Benjamin;Let Me Down Slowly;2018;7;28;37;245907
38;spotify:track:6ocbgoVGwYJhOv1GgI9NsF;Ariana Grande;7 rings;Republic Records;1;29;15;240240
39;spotify:track:7nLlNW2Ea9p5FEaB67TZri;Peg Parnevik;Goodbye Boy;The Kennel AB;39;40;8;233052
40;spotify:track:3KkXRkHbMCARz0aVfEt68P;Post Malone, Swae Lee;Sunflower - Spider-Man: Into the Spider-Verse;Universal Records;6;39;28;230076
41;spotify:track:1NJcg626wLln4pGHpiV7mf;Billie Eilish, Khalid;lovely (with Khalid);Darkroom;34;43;51;226132
42;spotify:track:5itOtNx0WxtJmi1TQ3RuRd;Calvin Harris, Rag'n'Bone Man;Giant (with Rag'n'Bone Man);Columbia;13;38;16;222701
43;spotify:track:0nrWZWkJM62ftQJSI8fDc0;Alan Walker, Sophia Somajo;Diamond Heart;MER Recordings;1;46;31;218595
44;spotify:track:4l6boTiX3Erh3HYpKOa0D6;Ruben;Lay By Me;Universal Music AS;7;41;18;218091
45;spotify:track:6jfEZdUJ2Yla6h7gTJgKuo;P!nk;Walk Me Home;RCA Records Label;36;57;10;216186
46;spotify:track:4cbdPT6uaBOgOQe3fLMofl;SZA, The Weeknd, Travis Scott, Game of Thrones;Power is Power (feat. The Weeknd & Travis Scott);Columbia;33;33;2;210356
47;spotify:track:0G7Ik0gmxJBFJKAmK2p1k9;Astrid S;Someone New;Universal Music AS;8;45;13;207458
48;spotify:track:6MWtB6iiXyIwun0YzU6DFP;Post Malone;Wow.;Republic Records;1;42;19;205412
49;spotify:track:09oZ9eXQ2fo6YDrPzJqAoP;Khalid, John Mayer;Outta My Head (with John Mayer);Right Hand Music Group, LLC/RCA Records;26;44;4;199441
50;spotify:track:507tQXutCPYNFkpOq8tmKF;Zara Larsson;Don't Worry Bout Me;Epic/Record Company TEN;23;47;5;193416
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:0TK2YIli7K1leLovkQiNik;Shawn Mendes, Camila Cabello;Señorita;Island Records;1;1;5;1241679
2;spotify:track:1rgnBhdG2JDFTbYkYRZAku;Tones And I;Dance Monkey;Elektra (NEK);2;8;6;1141483
3;spotify:track:70eFcWOvlMObDhURTqT4Fv;Ed Sheeran, Khalid;Beautiful People (feat. Khalid);Atlantic Records UK;3;3;4;751905
4;spotify:track:5Z2B8cCZagHiTNEmrEO4Pb;TIX;Neste Sommer;Universal Music AS;2;2;5;740357
5;spotify:track:6vBdBCoOhKHiYDDOcorfNo;Post Malone, Young Thug;Goodbyes (feat. Young Thug);Republic Records;4;5;3;698983
6;spotify:track:6oJ6le65B3SEqPwMRNXWjY;Kygo, Whitney Houston;Higher Love;Kygo/RCA Records;2;6;4;666420
7;spotify:track:1WjLQsbfei4kk9OaVxtfIB;Isah, Dutty Dior;HALLO;Virgin Music Label And Artist Services;5;7;17;656941
8;spotify:track:0hVXuCcriWRGvwMV1r5Yn9;Ed Sheeran, Justin Bieber;I Don't Care (with Justin Bieber);Atlantic Records UK;1;4;11;625454
9;spotify:track:5CR8jioIWEB0yaS4Ap2mz5;Kygo, Store P, Lars Vaular;Kem Kan Eg Ringe (feat. Store P & Lars Vaular);Kygo;1;9;6;578381
10;spotify:track:00NVYE5PrMpR1gVlC8zPZV;Morgan Sulele, OnklP;Helt Ærlig;RCA Records Label;8;10;8;557413
11;spotify:track:4xdOjt8F7VlOuu3kpDHEWN;Karpe;skittles;Apen & Kjeften AS;2;12;5;473561
12;spotify:track:4vUmTMuQqjdnvlZmAH61Qk;Ed Sheeran, Camila Cabello, Cardi B;South of the Border (feat. Camila Cabello & Cardi B);Atlantic Records UK;11;11;2;449994
13;spotify:track:2Fxmhks0bxGSBdJ92vM42m;Billie Eilish;bad guy;Darkroom/Interscope Records;1;13;17;436599
14;spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y;Sam Smith;How Do You Sleep?;Capitol;14;-1;1;421063
15;spotify:track:7qEHsqek33rTcFNT9PFqLf;Lewis Capaldi;Someone You Loved;Vertigo Berlin;10;17;35;412602
16;spotify:track:40OMBMYRk5IQL6xCzGM0JA;Martin Garrix, Macklemore, Fall Out Boy;Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy);Epic Amsterdam;13;15;13;405766
17;spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga, Bradley Cooper;Shallow;A Star is Born OST;2;19;43;384438
18;spotify:track:3hQZsgkDDPTi3M1vTyif6G;TIX;Jeg Vil Ikke Leve;Universal Music AS;1;16;9;379744
19;spotify:track:1DhRbox3xkceP64k3JeYfW;Ed Sheeran, Travis Scott;Antisocial (with Travis Scott);Atlantic Records UK;14;14;2;373148
20;spotify:track:0Tv9DumSM7K9v4EME1XdsC;Rat City, Isak Heim;Kind Of Love;RCA Records Label;10;20;23;372644
21;spotify:track:0eQJy4VAW7AkhKIHzXx3jG;Astrid S;The First One;Universal Music AS;3;21;9;368990
22;spotify:track:6u7jPi22kF8CTQ3rb9DHE7;Lil Nas X, Billy Ray Cyrus;Old Town Road - Remix;Columbia;4;22;16;362653
23;spotify:track:6moU77g9RQyMzHNuKEaQKq;Ali Gatie;It's You;Warner Records;19;24;6;347788
24;spotify:track:2x0RZdkZcD8QRI53XT4GI5;Avicii, Aloe Blacc;SOS (feat. Aloe Blacc);Universal Music AB;1;25;16;329732
25;spotify:track:3ILRzR8SwJajRjrcySym2F;Staysman & Lazz, Staysman, DJ Fistmagnet;Trenger en mann;RCA Records Label;4;27;11;329715
26;spotify:track:6fTt0CH2t0mdeB2N9XFG5r;Lil Nas X;Panini;Columbia;23;28;5;319418
27;spotify:track:1DFD5Fotzgn6yYXkYsKiGs;MEDUZA, Goodboys;Piece Of Your Heart;Virgin;27;32;12;309262
28;spotify:track:05CwHjIk71RXVU40boRMnR;The Chainsmokers, Bebe Rexha;Call You Mine;Disruptor Records/Columbia;19;26;8;306740
29;spotify:track:3yNZ5r3LKfdmjoS3gkhUCT;Billie Eilish, Justin Bieber;bad guy (with Justin Bieber);Darkroom/Interscope Records;18;18;2;304122
30;spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj;Daya;Insomnia;Interscope Records;10;29;18;303335
31;spotify:track:02itaCXOdC54J0ISjqqFAp;R3HAB, A Touch Of Class;All Around The World (La La La);Virgin;31;33;13;296588
32;spotify:track:7cdzfYrqbbMC6auCV0yAQr;Soppgirobygget;Domen 2019;Soppgiro inc.;4;31;19;295515
33;spotify:track:4n7jnSxVLd8QioibtTDBDq;Alan Walker, Sabrina Carpenter, Farruko;On My Way;MER Recordings;2;30;18;290326
34;spotify:track:0AtP8EkGPn6SwxKDaUuXec;Ed Sheeran, Eminem, 50 Cent;Remember The Name (feat. Eminem & 50 Cent);Atlantic Records UK;23;23;2;287793
35;spotify:track:2neq77lIMkitQwBwy1EDng;Raaban, Tungevaag, Lovespeake;Million Lights;WM Sweden;26;35;18;284117
36;spotify:track:4MY1amv4MW0wyH5vqB89vk;Julie Bergan;STFU;WM Norway;16;34;21;278377
37;spotify:track:5ry2OE6R2zPQFDO85XkgRb;Drake, Rick Ross;Money In The Grave (Drake ft. Rick Ross);Republic Records;29;36;6;265099
38;spotify:track:60DwQiwwglVkTkTwDTTEId;JP Cooper, Astrid S;Sing It With Me;Universal-Island Records Ltd.;23;41;12;255521
39;spotify:track:6aoGtdWXBkYQ2O2wnyIz2x;Kygo, Chelsea Cutler;Not Ok;Kygo;6;37;9;254402
40;spotify:track:7ILEWkpfdK6AjH2D7jppWk;Chris Brown, Justin Bieber, Ink;Don't Check On Me (feat. Justin Bieber & Ink);Chris Brown Entertainment/RCA Records;17;38;4;250045
41;spotify:track:7yuWNNEypticZS0yPAMPt9;Ruben;Power;Universal Music AS;28;40;12;249968
42;spotify:track:6LsAAHotRLMOHfCsSfYCsz;Shawn Mendes;If I Can't Have You;Island Records;11;39;12;243041
43;spotify:track:7B7O5jgFpWfc9orZw6FN4K;KEiiNO;Spirit in the Sky;Hugoworld AS;2;44;21;242239
44;spotify:track:5lwU311GwiiWBhcXrdy1R4;Nicolay Ramm;Raske Briller;Chinpoko Records;1;43;22;240338
45;spotify:track:1kBbgxAUc4HQv7cgIayIDH;Lil Tecca;Ransom;Republic Records;45;53;7;234460
46;spotify:track:24vJxXMDQQfVIMkhaOj5oP;Bernt Hulsker, Den nye Mads Hansen;I skyggen (feat. Den nye Mads Hansen);All In/GG Music;7;48;7;229482
47;spotify:track:0pvt5LnzUhcwpc8c2RDL1w;Broiler;Do It;Universal Music AS;12;50;16;229149
48;spotify:track:2rbDhOo9Fh61Bbu23T2qCk;Lady Gaga;Always Remember Us This Way;A Star is Born OST;7;49;42;226132
49;spotify:track:5PYQUBXc7NYeI1obMKSJK0;Katy Perry;Never Really Over;Capitol Records;24;42;8;225896
50;spotify:track:29fRTIKsJhLUJoldM89GZS;Taylor Swift;You Need To Calm Down;Taylor Swift;22;47;6;219525
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:1rgnBhdG2JDFTbYkYRZAku;Tones And I;Dance Monkey;Elektra (NEK);1;1;20;982408
2;spotify:track:1HfMVBKM75vxSfsQ5VefZ5;Selena Gomez;Lose You To Love Me;Interscope Records;2;40;2;871707
3;spotify:track:2b8fOow8UzyDFAE27YhOZM;Maroon 5, Nipsey Hussle, YG;Memories Remix (feat. Nipsey Hussle & YG);Interscope Records*;3;3;6;644964
4;spotify:track:3eekarcy7kvN4yt5ZFzltW;Travis Scott;HIGHEST IN THE ROOM;Cactus Jack / Epic;2;2;4;619712
5;spotify:track:7qEHsqek33rTcFNT9PFqLf;Lewis Capaldi;Someone You Loved;Vertigo Berlin;3;4;49;583370
6;spotify:track:2zTXGnJsTwSp1TKcs5g6Xb;Arif Murakami;Hvem Er Hun;Nora Streams;4;5;18;508419
7;spotify:track:4poybupy26pTWPr9zY1i7h;Nea;Some Say;Milkshake;7;8;7;494930
8;spotify:track:4jp4Z02kzzg8gK0NmDGgml;K-391, Alan Walker, Tungevaag, Mangoo;Play;MER;2;6;9;482162
9;spotify:track:21jGcNKet2qwijlDFuPiPb;Post Malone;Circles;Republic Records;3;7;9;481153
10;spotify:track:7aiClxsDWFRQ0Kzk5KI5ku;blackbear;hot girl bummer;Alamo;10;11;9;460384
11;spotify:track:6v3KW9xbzN5yKLt9YKDYA2;Shawn Mendes, Camila Cabello;Señorita;Island Records;1;9;19;420921
12;spotify:track:2QpGZOhTCHHiKmpSO9FW4h;Kanye West;Follow God;Getting Out Our Dreams II / Def Jam Recordings;12;-1;1;406777
13;spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y;Sam Smith;How Do You Sleep?;Capitol;8;10;15;397628
14;spotify:track:1iQDltZqI7BXnHrFy4Qo1k;SHAED, ZAYN;Trampoline (with ZAYN);Photo Finish Records;14;24;5;346977
15;spotify:track:7sWRlDoTDX8geTR8zzr2vt;Post Malone;Hollywood's Bleeding;Republic Records;3;12;8;343565
16;spotify:track:5MvCgyuPop4l4EsV9OoSE4;Nick Strand, Mio;Can't Get Over You;Universal Music AS;16;23;3;342111
17;spotify:track:70eFcWOvlMObDhURTqT4Fv;Ed Sheeran, Khalid;Beautiful People (feat. Khalid);Atlantic Records UK;3;14;18;339035
18;spotify:track:4yI3HpbSFSgFZtJP2kDe5m;Selena Gomez;Look At Her Now;Interscope Records;18;-1;1;333909
19;spotify:track:6Gg1gjgKi2AK4e0qzsR7sd;Juice WRLD, YoungBoy Never Broke Again;Bandit (with YoungBoy Never Broke Again);Grade A Productions/Interscope Records;15;15;4;331958
20;spotify:track:2wrJq5XKLnmhRXHIAf9xBa;Dan + Shay, Justin Bieber;10,000 Hours (with Justin Bieber);Warner Music Nashville;9;13;4;320584
21;spotify:track:2Sk1QwXo0FMb8kwWahCSMW;Stina Talling;BlimE - Mer Enn God Nok;Epic Oslo;15;22;20;311180
22;spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga, Bradley Cooper;Shallow;A Star is Born OST;2;16;57;307586
23;spotify:track:1WjLQsbfei4kk9OaVxtfIB;Isah, Dutty Dior;HALLO;Virgin Music Label And Artist Services;3;21;31;292318
24;spotify:track:6oJ6le65B3SEqPwMRNXWjY;Kygo, Whitney Houston;Higher Love;Kygo/RCA Records;2;19;18;289762
25;spotify:track:2plLJpUcYPFrl1sW2pMG63;Harry Styles;Lights Up;Columbia;14;18;3;289524
26;spotify:track:2tnVG71enUj33Ic2nFN6kZ;Regard;Ride It;Ministry of Sound Recordings;26;31;12;276388
27;spotify:track:6TmkOBZ2UEQaIWR6T97R4Q;Highasakite;Can I Be Forgiven;Propeller Recordings;27;28;4;275570
28;spotify:track:2Fxmhks0bxGSBdJ92vM42m;Billie Eilish;bad guy;Darkroom/Interscope Records;1;26;31;271984
29;spotify:track:7MUUzpdrSa8UUEpyS1dGUq;Smith & Thell;Hotel Walls;Playground Music;26;30;15;267936
30;spotify:track:4xVjnQ3JPK2PnGIpZDs2Iy;TIX;Når Jeg Er Full;Universal Music AS;12;17;5;260328
31;spotify:track:6TfeXwJihJRuBW3mFpib6J;CLMD, Tungevaag;DANCE;Universal Music AS;31;46;2;260099
32;spotify:track:60bUT3XY15CTg8ZRNrSbqO;Ruben;So High;Universal Music AS;13;20;3;258880
33;spotify:track:6muOWhMh7Tf0UFUtMDBhUR;Coldplay;Orphans;Parlophone UK;33;-1;1;258827
34;spotify:track:07Oz5StQ7GRoygNLaXs2pd;Lizzo, Ariana Grande;Good as Hell (feat. Ariana Grande) - Remix;Nice Life/Atlantic;34;-1;1;255119
35;spotify:track:7vLR7NDAadIXfWjl2nw5Nr;Ina Wroldsen;Haloes;Syco Music UK;25;29;6;249897
36;spotify:track:6wo37KVqFJhtuxPTpLCcfe;The Chainsmokers, ILLENIUM, Lennon Stella;Takeaway;Disruptor Records/Columbia;12;25;14;248815
37;spotify:track:24bnCCysWnbNRNUT4LpHcP;Kanye West, Ty Dolla $ign, Ant Clemons;Everything We Need;Getting Out Our Dreams II / Def Jam Recordings;37;-1;1;240497
38;spotify:track:7LzouaWGFCy4tkXDOOnEyM;Camila Cabello;Liar;Syco Music/Epic;23;33;8;237473
39;spotify:track:1lOe9qE0vR9zwWQAOk6CoO;Lil Tecca;Ransom;Republic Records;3;27;21;236561
40;spotify:track:0IiWe6NRNBB7QbrCcgUCZX;Ringnes-Ronny;Jag Vil Ha Dig;Ringnes-Ronny;16;32;17;236493
41;spotify:track:2rbDhOo9Fh61Bbu23T2qCk;Lady Gaga;Always Remember Us This Way;A Star is Born OST;7;35;56;234189
42;spotify:track:0Z26mbSHJ1dkUu7g9DDgif;Major Lazer, Khalid, Death Stranding: Timefall, Diplo;Trigger;Right Hand Music Group, LLC/RCA Records;42;-1;1;229558
43;spotify:track:39JRmdKFka1Oe09FoOCPI4;Kanye West;Selah;Getting Out Our Dreams II / Def Jam Recordings;43;-1;1;225144
44;spotify:track:5CR8jioIWEB0yaS4Ap2mz5;Kygo, Store P, Lars Vaular;Kem Kan Eg Ringe (feat. Store P & Lars Vaular);Kygo;1;36;20;220745
45;spotify:track:7CZyCXKG6d5ALeq41sLzbw;Post Malone, Ozzy Osbourne, Travis Scott;Take What You Want (feat. Ozzy Osbourne & Travis Scott);Republic Records;10;34;8;220127
46;spotify:track:4AuJ78qR1JaNvveL2DTC70;Kristian Kristensen;Du ga mæ viljestyrke;WM Norway;46;49;39;219826
47;spotify:track:2SasoXZyv82yYgHiVOvxQn;Kanye West;On God;Getting Out Our Dreams II / Def Jam Recordings;47;-1;1;215994
48;spotify:track:3JWiDGQX2eTlFvKj3Yssj3;Kanye West;Closed On Sunday;Getting Out Our Dreams II / Def Jam Recordings;48;-1;1;209942
