rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:14msK75pk3pA33pzPVNtBF;Ariana Grande;7 rings;Republic Records;1;1;2;965648
2;spotify:track:6MWtB6iiXyIwun0YzU6DFP;Post Malone;Wow.;Republic Records;1;2;6;678798
3;spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga, Bradley Cooper;Shallow;A Star is Born OST;3;4;18;638768
