rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:5SxkdsY1ufZzoq9iXceLw9;Ariana Grande;no tears left to cry;Republic Records;1;-1;1;812291
2;spotify:track:2GGGm4MLQynB3I4E4ycIYC;Seeb, Dagny;Drink About;Universal Music AS;2;4;3;769138
3;spotify:track:33IOhptvC2Qoy2UhjiHXLV;David Guetta, Sia;Flames;Parlophone (France);1;1;5;756502
4;spotify:track:6g1NlCpW7fgqDnWbCCDrHl;Avicii;Wake Me Up;Universal Music AB;4;-1;1;687838
5;spotify:track:5CLGzJsGqhCEECcpnFQA8x;Rudimental, Jess Glynne, Macklemore, Dan Caplen;These Days (feat. Jess Glynne, Macklemore & Dan Caplen);Atlantic Records UK;1;3;14;661614
6;spotify:track:6xTU6B6nFwKKTSZ9ySXS80;Kygo, Miguel;Remind Me to Forget;Kygo;1;2;6;646367
7;spotify:track:1cTZMwcBJT0Ka3UJPXOeeN;Drake;Nice For What;Cash Money/Drake LP6;5;5;3;642668
8;spotify:track:6WbADFqMvR8N5u0BvtsWQE;Avicii, Sandro Cavazza;Without You (feat. Sandro Cavazza);Universal Music AB;2;117;37;635848
9;spotify:track:5VGBgPVFO3e0lWz4WHYntQ;Tungevaag, Raaban, Richard Smitt;All For Love;WM Sweden;7;7;5;616763
10;spotify:track:1gm616Plq4ScqNi7TVkZ5N;The Weeknd;Call Out My Name;Universal Republic Records;3;6;4;522157
11;spotify:track:6nsLzJfvp5OLd4mgqUJkpq;Avicii;Waiting For Love;Universal Music AB;11;-1;1;508088
12;spotify:track:5B03nSG8pLE48jh7kmasuL;Avicii;Levels - Radio Edit;Universal Music AB;12;-1;1;494760
13;spotify:track:08bNPGLD8AhKpnnERrAc6G;Marshmello, Anne-Marie;FRIENDS;Atlantic Records UK;5;8;11;492508
14;spotify:track:63SevszngYpZOwf63o61K4;Dennis Lloyd;Nevermind;WM Italy;14;20;5;483426
15;spotify:track:7ef4DlsgrMEH11cDZd32M6;Calvin Harris, Dua Lipa;One Kiss (with Dua Lipa);Sony Music UK;12;12;3;476598
16;spotify:track:7wrDRQgHlvDnimrRHfQZxt;Post Malone, Ty Dolla $ign;Psycho (feat. Ty Dolla $ign);Republic Records;1;11;9;451918
17;spotify:track:0DhkTGjEaIHaSxTfC14BFm;R3HAB, Mike Williams;Lullaby;CYB3RPVNK;7;9;11;449182
18;spotify:track:2XW4DbS6NddZxRPm5rMCeY;Drake;God's Plan;Cash Money/Drake LP6;1;10;14;439704
19;spotify:track:2OALaHcDdKkjYEpAr0Qzab;Avicii, Rita Ora;Lonely Together (feat. Rita Ora);Universal Music AB;17;185;37;418036
20;spotify:track:3zKST4nk4QJE77oLjUZ0Ng;Avicii;Hey Brother;Universal Music AB;20;-1;1;416182
21;spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ;David Guetta, Martin Garrix, Brooks;Like I Do;Parlophone (France);9;13;9;392791
22;spotify:track:18W92Zm1KjLCbUIszOhpkD;NOTD, Bea Miller;I Wanna Know (feat. Bea Miller);Universal Music AB;22;31;6;378365
23;spotify:track:2ARqIya5NAuvFVHSN3bL0m;Zedd, Maren Morris, Grey;The Middle;UMGRI Interscope;10;14;13;377204
24;spotify:track:10Igtw8bSDyyFs7KIsKngZ;Lil Dicky, Chris Brown;Freaky Friday (feat. Chris Brown);Commission/BMG;19;19;6;360125
25;spotify:track:3ee8Jmje8o58CHK66QrVC2;XXXTENTACION;SAD!;Bad Vibes Forever, LLC;6;17;8;353790
26;spotify:track:68n2oQd0Bm1YjTDWGwhpYf;Chris Abolade;Tranquilo;WM Norway;12;15;8;351325
27;spotify:track:3soOPBuMK8YMdWnV7xpEyf;Sean Paul, David Guetta, Becky G;Mad Love;Universal-Island Records Ltd.;23;23;10;350222
28;spotify:track:4QfNOZN7vrQCQKK1ZJ3XPb;Julia Michaels;Heaven;UME - Global Clearing House;3;16;13;349348
29;spotify:track:08hm0V6cTsWDX62hW42sEv;The Chainsmokers;Sick Boy;Disruptor Records/Columbia;3;22;14;340354
30;spotify:track:58q2HKrzhC3ozto2nDdN4z;Cardi B, Bad Bunny, J Balvin;I Like It;Atlantic/KSR;30;49;3;331170
31;spotify:track:45Egmo7icyopuzJN0oMEdk;Khalid, Normani;Love Lies (with Normani);RCA Records Label;13;21;10;328803
32;spotify:track:1csB4kgdyglOQdH0EyFIqy;James TW;Say Love;Island Records;32;40;4;308610
33;spotify:track:76cy1WJvNGJTj78UqeA5zr;Dua Lipa;IDGAF;Warner Records;5;18;15;307607
34;spotify:track:0ct6r3EGTcMLPtrXHDvVjc;Avicii;The Nights;Universal Music AB;34;-1;1;301488
35;spotify:track:4Pbg79cTBu4vgSphoyNq3j;Anne-Marie;2002;Atlantic Records UK;35;-1;1;301186
36;spotify:track:3ehVhqVi2j9KmhangvyXhB;TIX, The Pøssy Project;Nasjonen 2018;Universal Music AS;26;26;3;300664
37;spotify:track:0sPJELXHyWpFgkxlzvvRFI;Poo Bear, Justin Bieber, Jay Electronica;Hard 2 Face Reality;Bearthday Music, LLC;24;24;3;299294
38;spotify:track:11GGSyTB8cS9TgONHBOhEX;Madison Beer;Home with You;Access Records;38;47;5;293084
39;spotify:track:7uzmGiiJyRfuViKKK3lVmR;Bazzi;Mine;iamcosmic;5;27;13;292746
40;spotify:track:2vNyWYQtbrgOKcSG64SZMJ;Mr. Probz;Space For Two;Left Lane Recordings;40;44;3;292437
41;spotify:track:79jX8RM5CgPqDKdGEKNW9K;Shawn Mendes;In My Blood;Island Records;10;25;5;280743
42;spotify:track:7Fg342AJtNsIDdwCfX0paC;ZAYN;Let Me;RCA Records Label;29;29;2;273766
43;spotify:track:4EAV2cKiqKP5UPZmY6dejk;Logic, Marshmello;Everyday;Def Jam Recordings;18;35;8;263872
