rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
44;spotify:track:3pWcj8hxj3fsb9TDAcMpEl;The Chainsmokers, Drew Love;Somebody;Disruptor Records/Columbia;44;-1;1;263670
45;spotify:track:783Q8cR3BbuBQnVWwosHQ0;Broiler;Mirror;Universal Music AS;24;33;7;261099
46;spotify:track:55S2PQgSMYAhgoTCcGCDfw;5 Seconds of Summer;Youngblood;Capitol;46;61;2;260835
47;spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL;BlocBoy JB, Drake;Look Alive (feat. Drake);Bloc Nation;19;28;11;252903
48;spotify:track:2qqeOOmXStFrGbxX3BQP6p;Ruben;Walls;Universal Music AS;6;32;27;251238
49;spotify:track:5yFSF6qQA1rcLsQRnBsZgb;Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander;All Falls Down (feat. Juliander);MER Recordings;1;34;26;248059
50;spotify:track:39N9RPD9MRb5WmoLzNzPeA;Nicky Jam, J Balvin;X;Sony Music Latin;50;50;6;228042
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:5sm7SSLMwSJ6bNKl5olGhh;MARS, Karpe, Unge Ferrari, Arif Murakami;jeg bruker ikke kondom;MARS;1;1;2;746860
2;spotify:track:5UEnHoDYpsxlfzWLZIc7LD;Eminem, Ed Sheeran;River (feat. Ed Sheeran);Aftermath;1;3;6;679730
3;spotify:track:6k2KNDrPtaTEByiK2EnOnB;MARS, Karpe, Unge Ferrari, Arif Murakami;jeg er lei meg;MARS;2;2;2;642571
4;spotify:track:7jqDzXJS0K0Re8uphYNit0;The Chainsmokers;Sick Boy;Disruptor Records/Columbia;4;-1;1;564721
5;spotify:track:5k38wzpLb15YgncyWdTZE4;G-Eazy, Halsey;Him & I (with Halsey);BPG/RVG/RCA Records;4;6;8;558904
6;spotify:track:5yFSF6qQA1rcLsQRnBsZgb;Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander;All Falls Down (feat. Juliander);MER Recordings;1;7;13;552063
7;spotify:track:2XW4DbS6NddZxRPm5rMCeY;Drake;God's Plan;Cash Money/Drake LP6;7;-1;1;544850
8;spotify:track:7iDa6hUg2VgEL1o1HjmfBn;Bebe Rexha, Florida Georgia Line;Meant to Be (feat. Florida Georgia Line);Warner Records;2;5;18;533659
9;spotify:track:2E5oh2pPuvcx0WCQa6s7T2;Ruben;Walls;Universal Music AS;6;9;14;502302
10;spotify:track:7wGoVu4Dady5GV0Sv4UIsx;Post Malone, 21 Savage;rockstar (feat. 21 Savage);Republic Records;1;10;19;498885
11;spotify:track:7FIcIjKaQJpy0vWWFZMZGH;Ina Wroldsen;Strongest;Syco Music;2;13;13;491765
12;spotify:track:0OI7AFifLSoGzpb8bdBLLV;Machine Gun Kelly, X Ambassadors, Bebe Rexha;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);Atlantic Records;9;11;10;470148
13;spotify:track:1zsG4eaZmkA1dvjDDsAGLK;Luis Fonsi, Demi Lovato;Échame La Culpa;UMLE - Latino;13;15;10;461494
14;spotify:track:0OlnLZY4cmQzT6ZGttvWBM;Martin Garrix, David Guetta, Jamie Scott, Romy Dya;So Far Away (feat. Jamie Scott & Romy Dya);Epic Amsterdam;14;18;8;446188
15;spotify:track:0PBhgJAi0OoEmI1kcw7Ggj;MARS, Karpe, Unge Ferrari, Arif Murakami;jeg gråter tårer i en mansion;MARS;4;4;2;439789
16;spotify:track:6mrKP2jyIQmM0rw6fQryjr;NF;Let You Down;NF Real Music;2;14;17;432218
17;spotify:track:13LoCHeSbhEO3YPyMxjgSY;Karpe;Rett i foret;Apen & Kjeften AS;4;12;7;429173
18;spotify:track:7EmGUiUaOSGDnUUQUDrOXC;Selena Gomez, Marshmello;Wolves;Selena Gomez PS;5;17;13;394049
19;spotify:track:0tgVpDi06FyKpA1z0VMD4v;Ed Sheeran;Perfect;Atlantic Records UK;6;20;47;391295
20;spotify:track:1rfofaqEpACxVEHIZBJe6W;Camila Cabello, Young Thug;Havana (feat. Young Thug);Syco Music/Epic;15;19;25;384018
21;spotify:track:1bhUWB0zJMIKr9yVPrkEuI;Ed Sheeran, Beyoncé;Perfect Duet (Ed Sheeran & Beyoncé);Atlantic Records UK;11;16;8;375967
22;spotify:track:2xmrfQpmS2iJExTlklLoAL;Clean Bandit, Julia Michaels;I Miss You (feat. Julia Michaels);Atlantic Records UK;17;21;13;373786
23;spotify:track:0RTzJVkunbGwuRjXDFHnjf;Axwell /\ Ingrosso;Dreamer;EMI;21;26;7;368003
24;spotify:track:4eWQlBRaTjPPUlzacqEeoQ;Camila Cabello;Never Be the Same;Syco Music/Epic;22;22;7;347756
25;spotify:track:12SJpYZEdj4kzWZ8FPFg4Y;Kendrick Lamar, SZA;All The Stars (with SZA);Black Panther (TDE/DMG) PS;23;23;3;335551
26;spotify:track:3fJaqjV813edLN5wrxUPkc;Sigrid;Strangers;Petroleum Records;23;43;11;332931
27;spotify:track:3Vo4wInECJQuz9BIBMOu8i;Bruno Mars, Cardi B;"Finesse - Remix; feat. Cardi B";Atlantic Records;25;25;3;331288
28;spotify:track:76cy1WJvNGJTj78UqeA5zr;Dua Lipa;IDGAF;Warner Records;28;60;2;325363
29;spotify:track:7vGuf3Y35N4wmASOKLUVVU;Marshmello, Khalid;Silence;Joytime Collective/RCA Records;2;27;24;315182
30;spotify:track:0Zbbxnx4SGGHoIow4PpISP;Kygo, Justin Jesso;Stargazing;Kygo;2;24;18;304245
31;spotify:track:6QgjcU0zLnzq5OrUoSZ3OK;Portugal. The Man;Feel It Still;Atlantic Records;11;29;26;293545
32;spotify:track:5CLGzJsGqhCEECcpnFQA8x;Rudimental, Jess Glynne, Macklemore, Dan Caplen;These Days (feat. Jess Glynne, Macklemore & Dan Caplen);Atlantic Records UK;32;-1;1;292791
33;spotify:track:2FC79lHLOOBhIkdxmQtYAT;MARS, Karpe, Unge Ferrari, Arif Murakami;jeg føler meg som tshawe;MARS;8;8;2;289854
34;spotify:track:4aSfgWmRa9KsISD4Jmx7QB;Kygo, Sasha Alex Sloan;This Town (feat. Sasha Alex Sloan);Kygo;9;28;18;286930
35;spotify:track:5hM6sP0Gh1jD57drszNueC;Liam Payne, Rita Ora;For You (With Rita Ora);Capitol Records UK / EMI;28;34;3;284957
36;spotify:track:0xZNXAlGkRrBm9yi4xJHGi;Seeb, Skip Marley;Cruel World;Universal Music AS;28;32;11;278264
37;spotify:track:1j4kHkkpqZRBwE0A4CN4Yv;ZAYN, Sia;Dusk Till Dawn (feat. Sia) - Radio Edit;RCA Records Label;3;30;20;271511
38;spotify:track:0Clb9aiXWa0dvVff5aN4VN;Astrid S;Think Before I Talk;Universal Music AS;1;31;22;270901
39;spotify:track:5AEtlRudpgdT5FtNiuly6Y;Hailee Steinfeld, Alesso, Florida Georgia Line, WATT;Let Me Go (with Alesso, Florida Georgia Line & watt);Universal Records;34;37;20;267133
40;spotify:track:5TZoUICdwK1NE7Pn5B2Hma;Julie Bergan;Incapable;WM Norway;20;33;12;258451
41;spotify:track:75ZvA4QfFiZvzhj2xkaWAh;Post Malone;I Fall Apart;Universal Records;24;36;17;243916
42;spotify:track:3hBBKuWJfxlIlnd9QFoC8k;Maroon 5, SZA;What Lovers Do (feat. SZA);Interscope Records*;8;35;21;243820
43;spotify:track:2ekn2ttSfGqwhhate0LSR0;Dua Lipa;New Rules;Warner Records;4;40;28;230514
44;spotify:track:1mXVgsBdtIVeCLJnSnmtdV;Sam Smith;Too Good At Goodbyes;Capitol;4;41;20;229288
45;spotify:track:3iq9nhbI8fcnNamxMft1uv;Camila Cabello;Real Friends;Syco Music/Epic;45;49;4;224093
46;spotify:track:42CeaId2XNlxugDvyqHfDf;Post Malone;Candy Paint;Republic Records;37;39;14;223744
47;spotify:track:7qiZfU4dY1lWllzX7mPBI3;Ed Sheeran;Shape of You;Atlantic Records UK;1;45;55;218223
48;spotify:track:2DGa7iaidT5s0qnINlwMjJ;Alan Walker;The Spectre;MER Recordings;5;38;19;215982
49;spotify:track:2nUJvBO87SkxCViQsLc9Zr;Big Shaq;Man's Not Hot;Universal-Island Records Ltd.;21;42;18;214951
50;spotify:track:6mi0nOefUSj6w4iGKrhOik;Sophie Elise;In My Head;Universal Music AS;26;46;3;188206
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ;Drake;In My Feelings;Cash Money/Drake LP6;1;3;4;840431
2;spotify:track:6HqobDaKcIiv7iRierChsK;Mads Hansen;Sommerkroppen;All In/GG Music;1;1;9;837419
3;spotify:track:0UMLejbZXf7YVgnfxURvVr;Alan Walker, Julie Bergan, K-391, SEUNGRI;Ignite;MER;1;2;11;767133
4;spotify:track:0E9ZjEAyAwOXZ7wJC0PD33;Dynoro, Gigi D'Agostino;In My Mind;Columbia/B1 Recordings;4;8;5;744231
5;spotify:track:6kPJZM97LwdG9QIsT7khp6;Clean Bandit, Demi Lovato;Solo (feat. Demi Lovato);Atlantic Records UK;3;4;10;691951
6;spotify:track:2iUXsYOEPhVqEBwsqP70rE;5 Seconds of Summer;Youngblood;Capitol;4;5;15;581574
7;spotify:track:0kHyKhJMukHEPfeh8s7rdM;Kygo, Imagine Dragons;Born To Be Yours;Kygo;5;7;6;573704
8;spotify:track:7dt6x5M1jzdTEt8oCbisTK;Post Malone;Better Now;Republic Records;1;9;13;509479
9;spotify:track:3u1S1OmAUhx5DRlLrXqyp3;Jonas Blue, Jack & Jack;Rise;Positiva;9;14;9;498336
10;spotify:track:7fa9MBXhVfQ8P8Df9OEbD8;Maroon 5, Cardi B;Girls Like You (feat. Cardi B) - Cardi B Version;Interscope Records*;10;12;8;478711
11;spotify:track:6G8kHiVZ1jW7vHMPVRNZU0;Drake, Michael Jackson;Don’t Matter To Me (with Michael Jackson);Cash Money/Drake LP6;4;6;4;477685
12;spotify:track:33IOhptvC2Qoy2UhjiHXLV;David Guetta, Sia;Flames;Parlophone (France);1;10;18;469569
13;spotify:track:3XLuehOxBsDJoN3RBO2wfX;TIX;Shotgun;Universal Music AS;5;11;7;452703
14;spotify:track:5IaHrVsrferBYDm0bDyABy;Tyga, Offset;Taste (feat. Offset);Last Kings Music / EMPIRE;14;16;10;448826
15;spotify:track:4kWO6O1BUXcZmaxitpVUwp;Tiësto, Dzeko, Preme, Post Malone;Jackie Chan;Universal Music, a division of Universal International Music BV;13;13;10;445154
16;spotify:track:3nc420PXjTdBV5TN0gCFkS;Martin Garrix, Khalid;Ocean (feat. Khalid);Epic Amsterdam;14;15;6;420505
17;spotify:track:0s3nnoMeVWz3989MkNQiRf;Juice WRLD;Lucid Dreams;Juice WRLD Mixtape / ISR P&D;17;17;10;420219
18;spotify:track:7gkWXbAxIYuvtOpcN3p9GJ;Ariana Grande;God is a woman;Republic Records;18;22;2;415896
19;spotify:track:2GGGm4MLQynB3I4E4ycIYC;Seeb, Dagny;Drink About;Universal Music AS;2;18;16;410320
20;spotify:track:3ee8Jmje8o58CHK66QrVC2;XXXTENTACION;SAD!;Bad Vibes Forever, LLC;6;20;21;395436
21;spotify:track:0d2iYfpKoM0QCKvcLCkBao;benny blanco, Halsey, Khalid;Eastside (with Halsey & Khalid);Benny Blanco Solo Album PS;21;46;2;392905
22;spotify:track:63SevszngYpZOwf63o61K4;Dennis Lloyd;Nevermind;WM Italy;3;19;18;392374
23;spotify:track:04rjxIPsEtpM8Yj9UPy6Tt;J-Dawg, Lille Saus;Disco Demolition 2018 (Stabekk Anthem);J-Dawg;10;23;29;381054
24;spotify:track:4hQ6UGyWQIGJmHSo0J88JW;Selena Gomez;Back To You - From 13 Reasons Why – Season 2 Soundtrack;UMGRI Interscope;9;21;11;373632
25;spotify:track:58q2HKrzhC3ozto2nDdN4z;Cardi B, Bad Bunny, J Balvin;I Like It;Atlantic/KSR;19;25;16;347844
26;spotify:track:7ef4DlsgrMEH11cDZd32M6;Calvin Harris, Dua Lipa;One Kiss (with Dua Lipa);Sony Music UK;7;24;16;345973
27;spotify:track:0oBsVtrDebt26nMG1Rm9X5;Ruben;The Half;Universal Music AS;26;26;6;331651
28;spotify:track:1ev9Vx8U4bvuJSBmwYz5uJ;Katastrofe;Et bitte lite småbruk oppå Gålå;RCA Records Label;20;28;7;295067
29;spotify:track:7AFASza1mXqntmGtbxXprO;XXXTENTACION;changes;Bad Vibes Forever, LLC;9;29;19;291694
30;spotify:track:4PmENqnjybovsBQE1iZ0AO;Cess, Benjamin;Drømmemann;The Toothfairy Label;13;30;7;289753
31;spotify:track:5SxkdsY1ufZzoq9iXceLw9;Ariana Grande;no tears left to cry;Republic Records;1;27;14;288729
32;spotify:track:6SFStUDQZNaGPKWOx9ZiJB;Anne-Marie;2002;Atlantic Records UK;25;32;14;284444
33;spotify:track:5VGBgPVFO3e0lWz4WHYntQ;Tungevaag, Raaban, Richard Smitt;All For Love;WM Sweden;7;31;18;282382
34;spotify:track:34m69Q5xrI67xUM8MHFWeK;Ummet Ozcan, Laurell;Change My Heart;Spinnin' Records;33;36;11;272251
35;spotify:track:3nHtJ3HtqFomq1Qz7OzRR0;Ina Wroldsen;Mother;Syco Music;35;38;4;269594
36;spotify:track:19MBk3PbNFE36wqIqkMq9H;Alvaro Soler;La Cintura;Airforce1;36;39;11;268793
37;spotify:track:2ysZGDTgQD94WILo4jPeex;LOKE, Morgan Sulele;Idyll;RCA Records Label;37;37;3;266522
38;spotify:track:0JP9xo3adEtGSdUEISiszL;XXXTENTACION;Moonlight;Bad Vibes Forever, LLC;16;35;13;265845
39;spotify:track:2E124GmJRnBJuXbTb4cPUB;6ix9ine, Nicki Minaj, Murda Beatz;FEFE;Scumgang Records/TenThousand Projects, LLC;39;-1;1;262091
40;spotify:track:6xTU6B6nFwKKTSZ9ySXS80;Kygo, Miguel;Remind Me to Forget;Kygo;1;34;19;259823
41;spotify:track:7m9OqQk4RVRkw9JJdeAw96;XXXTENTACION;Jocelyn Flores;Bad Vibes Forever / EMPIRE;12;40;48;251380
42;spotify:track:4zIO3ilp5HvTeK3HJHxhMP;Imagine Dragons;Natural;Kid Ina Korner / Interscope;42;-1;1;251144
43;spotify:track:5ai9JSCJ6HE9ClW9CjFWcw;Freddy Kalas;BlimE;Universal Music AS;43;43;5;247836
44;spotify:track:5CLGzJsGqhCEECcpnFQA8x;Rudimental, Jess Glynne, Macklemore, Dan Caplen;These Days (feat. Jess Glynne, Macklemore & Dan Caplen);Atlantic Records UK;1;41;27;241185
45;spotify:track:2sWiygeCvOSSMjS0pwR80M;Axwell /\ Ingrosso, RØMANS;Dancing Alone;Astralwerks (US1A);45;52;4;238948
46;spotify:track:39N9RPD9MRb5WmoLzNzPeA;Nicky Jam, J Balvin;X;Sony Music Latin;26;65;19;237519
47;spotify:track:11GGSyTB8cS9TgONHBOhEX;Madison Beer;Home with You;Access Records;20;44;18;237481
48;spotify:track:7ycWLEP1GsNjVvcjawXz3z;A$AP Rocky, Skepta;Praise The Lord (Da Shine) (feat. Skepta);A$AP Worldwide/Polo Grounds Music/RCA Records;29;45;9;233762
49;spotify:track:0TlLq3lA83rQOYtrqBqSct;Drake;Nonstop;Cash Money/Drake LP6;23;33;4;232251
50;spotify:track:1csB4kgdyglOQdH0EyFIqy;James TW;Say Love;Island Records;24;47;17;225450
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;spotify:track:25sgk305KZfyuqVBQIahim;Ava Max;Sweet but Psycho;Atlantic Records;1;1;7;1223305
2;spotify:track:4J4zx8xGJpuGndrVc06KaT;Alan Walker, Sophia Somajo;Diamond Heart;MER Recordings;1;2;4;992302
3;spotify:track:09rj7jigutgAkveJGpSDBT;Astrid S;Emotion;Universal Music AS;3;3;2;809299
4;spotify:track:3EPXxR3ImUwfayaurPi3cm;Dean Lewis;Be Alright;Universal Music Australia Pty. Ltd.;2;4;13;753250
5;spotify:track:2VxeLyX666F8uXCJ0dZF8B;Lady Gaga, Bradley Cooper;Shallow;A Star is Born OST;5;8;4;737945
6;spotify:track:1A6OTy97kk0mMdm78rHsm8;Post Malone, Swae Lee;Sunflower - Spider-Man: Into the Spider-Verse;Republic Records;6;-1;1;687817
7;spotify:track:2JqnpexlO9dmvjUMCaLCLJ;Lukas Graham;Love Someone;Copenhagen Records / Then We Take The World;5;5;7;592119
8;spotify:track:2dpaYNEQHiRxtZbfNsse99;Marshmello, Bastille;Happier;Astralwerks;7;7;10;539714
9;spotify:track:0Dn40gxVCMo5TkgS8Ik18Q;Lil Peep, XXXTENTACION;Falling Down - Bonus Track;Columbia;1;6;6;522800
10;spotify:track:7l3E7lcozEodtVsSTCkcaA;Kodak Black, Offset, Travis Scott;ZEZE (feat. Travis Scott & Offset);Atlantic Records;10;15;2;519988
11;spotify:track:0d2iYfpKoM0QCKvcLCkBao;benny blanco, Halsey, Khalid;Eastside (with Halsey & Khalid);Benny Blanco Solo Album PS;3;9;15;481260
12;spotify:track:5tAa8Uaqr4VvA3693mbIhU;Zara Larsson;Ruin My Life;Epic/Record Company TEN;12;-1;1;469626
13;spotify:track:5p7ujcrUXASCNwRaWNHR1C;Halsey;Without Me;Capitol Records;12;12;3;449064
14;spotify:track:0E9ZjEAyAwOXZ7wJC0PD33;Dynoro, Gigi D'Agostino;In My Mind;Columbia/B1 Recordings;1;10;18;429767
15;spotify:track:2OpBganfGk2GVdSlRdxzaX;Khalid;Better;Right Hand Music Group, LLC/RCA Records;9;19;6;420415
16;spotify:track:1snWlbcbgQpJfknoI30DWG;Alan Walker, Au/Ra, Tomine Harket;Darkside;MER Recordings;1;11;13;418038
17;spotify:track:4w8niZpiMy6qz1mntFA5uM;DJ Snake, Selena Gomez, Ozuna, Cardi B;Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake Music Productions Limited, under exclusive license to Geffen Records;15;17;4;416340
18;spotify:track:6jreFSOTUAViWjKyzOC4Kg;Alesso;REMEDY;10:22 pm;10;13;8;409659
19;spotify:track:5N5k9nd479b1xpDZ4usjrg;Calvin Harris, Sam Smith, Jessie Reyez;Promises (with Sam Smith);Columbia;6;14;10;379676
20;spotify:track:6xtcFXSo8H9BZN637BMVKS;Rita Ora;Let You Love Me;Atlantic Records UK;17;18;5;353137
21;spotify:track:2NjQePuDpwMvBcEs4hhOVK;Julie Bergan;U Got Me;WM Norway;21;-1;1;351258
22;spotify:track:3nHtJ3HtqFomq1Qz7OzRR0;Ina Wroldsen;Mother;Syco Music;16;21;17;327593
23;spotify:track:2rbDhOo9Fh61Bbu23T2qCk;Lady Gaga;Always Remember Us This Way;A Star is Born OST;23;52;3;312562
24;spotify:track:4S8d14HvHb70ImctNgVzQQ;Kanye West, Lil Pump;I Love It (& Lil Pump);Getting Out Our Dreams, Inc./Def Jam Recordings;1;16;7;312380
25;spotify:track:3lYlbSVfxrSDE7FwO5fzzI;Sondre Justad;Ikke som de andre;Petroleum Records;25;49;15;309722
26;spotify:track:4zIO3ilp5HvTeK3HJHxhMP;Imagine Dragons;Natural;Kid Ina Korner / Interscope;10;22;14;281756
27;spotify:track:14JzyD6FlBD5z0wV5P07YI;Billie Eilish;when the party's over;Darkroom/Interscope Records;27;-1;1;276109
28;spotify:track:2iUXsYOEPhVqEBwsqP70rE;5 Seconds of Summer;Youngblood;Capitol;4;24;28;274514
29;spotify:track:4keoy2fqgwGnbWlm3ZVZFa;Zedd, Elley Duhé;Happy Now;UMGRI Interscope;7;30;14;270979
30;spotify:track:0s3nnoMeVWz3989MkNQiRf;Juice WRLD;Lucid Dreams;Juice WRLD Mixtape / ISR P&D;11;25;23;267915
31;spotify:track:4AhSkRYioEIfGvCV19peYN;Khalid, Empress Of;Suncity (feat. Empress Of);Right Hand Music Group, LLC/RCA Records;31;-1;1;262072
32;spotify:track:4AMY0oGSt7vZwgxDnHCJBr;XO Cupid, Maya Avedis;True Colors (feat. Maya Avedis);Columbia;32;42;3;261284
33;spotify:track:1rqqCSm0Qe4I9rUvWncaom;Panic! At The Disco;High Hopes;DCD2 / Fueled By Ramen;30;37;18;260277
34;spotify:track:3DGar7krWlmrXRFHBcQF6z;Kris Kross Amsterdam, The Boy Next Door, Conor Maynard;Whenever (feat. Conor Maynard);Spinnin' Records;18;31;16;258565
35;spotify:track:0UMLejbZXf7YVgnfxURvVr;Alan Walker, Julie Bergan, K-391, SEUNGRI;Ignite;MER;1;26;24;257012
36;spotify:track:116H0KvKr2Zl4RPuVBruDO;Bad Bunny, Drake;MIA;Rimas Entertainment LLC;27;27;2;251757
37;spotify:track:60SdxE8apGAxMiRrpbmLY0;Eminem, Joyner Lucas;Lucky You (feat. Joyner Lucas);Aftermath;3;23;8;243947
38;spotify:track:5274I4mUMnYczyeXkGDWZN;Future, Juice WRLD;Fine China;Epic/Freebandz/Grade A/Interscope;38;-1;1;242293
39;spotify:track:5ai9JSCJ6HE9ClW9CjFWcw;Freddy Kalas;BlimE;Universal Music AS;18;28;18;235569
40;spotify:track:7fa9MBXhVfQ8P8Df9OEbD8;Maroon 5, Cardi B;Girls Like You (feat. Cardi B) - Cardi B Version;Interscope Records*;10;29;21;234711
41;spotify:track:0oBsVtrDebt26nMG1Rm9X5;Ruben;The Half;Universal Music AS;19;39;19;232396
42;spotify:track:5Xn4IyTtW6FUGIUyWjbUHG;Jason Derulo, David Guetta, Nicki Minaj, Willy William;Goodbye (feat. Nicki Minaj & Willy William);Beluga Heights/Warner Records;21;34;9;230837
43;spotify:track:04ZTP5KsCypmtCmQg5tH9R;Bebe Rexha;I'm a Mess;Warner Bros.;17;33;19;224136
44;spotify:track:10UXRzj0jS58wxFR0qVm3r;FELIX SANDMAN;IMPRINT;Artist House / Record Company TEN;44;47;8;223628
45;spotify:track:7dt6x5M1jzdTEt8oCbisTK;Post Malone;Better Now;Republic Records;1;43;26;219993
46;spotify:track:7aHUol3Vz9xHm4Yot2dSKi;Sigrid;Sucker Punch;Petroleum Records;13;20;3;217590
