rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:0sf12qNH5qcw8qpgymFOqD;The Weeknd;Blinding Lights;Republic Records;1;2;9;1215712
2;spotify:track:0GFOW30WB6SsPoeOlZdDPl;Herman Flesvig;Haugenstua;Chinpoko Records;1;1;3;1074866
3;spotify:track:7FIWs0pqAYbP91WWM0vlTQ;Eminem, Juice WRLD;Godzilla (feat. Juice WRLD);Shady/Aftermath/Interscope Records;3;4;2;767340
4;spotify:track:0nbXyq5TXYPCO7pr3N8S4I;Roddy Ricch;The Box;Atlantic Records;3;3;7;742761
5;spotify:track:3o1CUVeHIid49sabk6A6Nf;Kygo, Avicii, Sandro Cavazza;Forever Yours - Avicii Tribute;Universal Music AB;5;-1;1;641146
