rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
1;spotify:track:0sf12qNH5qcw8qpgymFOqD;The Weeknd;Blinding Lights;Republic Records;1;2;9;1215712
2;spotify:track:0GFOW30WB6SsPoeOlZdDPl;Herman Flesvig;Haugenstua;Chinpoko Records;1;1;3;1074866
3;spotify:track:7FIWs0pqAYbP91WWM0vlTQ;Eminem, Juice WRLD;Godzilla (feat. Juice WRLD);Shady/Aftermath/Interscope Records;3;4;2;767340
4;spotify:track:0nbXyq5TXYPCO7pr3N8S4I;Roddy Ricch;The Box;Atlantic Records;3;3;7;742761
5;spotify:track:3o1CUVeHIid49sabk6A6Nf;Kygo, Avicii, Sandro Cavazza;Forever Yours - Avicii Tribute;Universal Music AB;5;-1;1;641146
6;spotify:track:1rgnBhdG2JDFTbYkYRZAku;Tones And I;Dance Monkey;Elektra (NEK);1;5;33;611491
7;spotify:track:7vgv8KZBSo0TPzyIWG9yzV;Ava Max;Salt;Atlantic Records;7;7;7;589858
8;spotify:track:3ZCTVFBt2Brf31RLEnCkWJ;Billie Eilish;everything i wanted;Darkroom/Interscope Records;1;10;12;548662
9;spotify:track:0bMbDctzMmTyK2j74j3nF3;Alan Walker, Ava Max;Alone, Pt. II;MER Recordings;4;6;5;536832
10;spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc;Future, Drake;Life Is Good (feat. Drake);Epic/Freebandz;9;9;3;525135
11;spotify:track:24Yi9hE78yPEbZ4kxyoXAI;SAINt JHN, Imanbek;Roses - Imanbek Remix;Columbia/B1 Recordings;11;11;11;473002
12;spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg;Dua Lipa;Don't Start Now;Warner Records;9;15;13;471354
13;spotify:track:4TnjEaWOeW0eKTKIEvJyCa;Trevor Daniel;Falling;Alamo;5;12;12;462834
14;spotify:track:7qEHsqek33rTcFNT9PFqLf;Lewis Capaldi;Someone You Loved;Vertigo Berlin;3;17;62;442249
15;spotify:track:6TfeXwJihJRuBW3mFpib6J;CLMD, Tungevaag;DANCE;Universal Music AS;11;19;15;433767
16;spotify:track:2kJwzbxV2ppxnQoYw4GLBZ;JP Saxe, Julia Michaels;If the World Was Ending (feat. Julia Michaels);Arista Records;16;20;15;425413
